Similarity_file, type, missing_files, n_pairs, max, mean, std, median
deltaCON_intersection_personalized_rw_affinities_lowmem.csv, gml, 0, 3294, 1.0, 0.7087497571987499, 0.3735337966952091, 1.0
deltaCON_intersection_personalized_rw_affinities_lowmem.csv, fullgml, 77, 1365, 1.0, 0.7103658079865962, 0.341573618385648, 0.8755395908437883
deltaCON_intersection_shortest_path_affinities.csv, gml, 0, 3294, 1.0, 0.6799454372963954, 0.4037630550014316, 1.0
deltaCON_intersection_shortest_path_affinities.csv, fullgml, 100, 668, 1.0, 0.5617344387589278, 0.43529363448121455, 0.585786437626905
deltaCON_personalized_rw_affinities.csv, gml, 0, 3536, 1.0, 0.5942597144840551, 0.3803473412739772, 0.5963172925860449
deltaCON_personalized_rw_affinities.csv, fullgml, 118, 82, 1.0, 0.8055463888425698, 0.1158385520267665, 0.7833475214998458
deltaCON_shortest_path_affinities.csv, gml, 0, 3536, 1.0, 0.6011005222359019, 0.40734693856770504, 0.585786437626905
deltaCON_shortest_path_affinities.csv, fullgml, 118, 82, 1.0, 0.2673829310645158, 0.32553628212245994, 0.13958582919644055
otherSim_ged_similarity.csv, gml, 0, 3536, 1.0, 0.6687577079263033, 0.144421341891258, 0.6354248366013072
otherSim_ged_similarity.csv, fullgml, 0, 3536, 1.0, 0.5588632033160124, 0.1112301884508798, 0.5102040816326531
otherSim_intersection_edge_jaccard_similarity.csv, gml, 0, 3294, 1.0, 0.02763109936556636, 0.11445668165104532, 0.0
otherSim_intersection_edge_jaccard_similarity.csv, fullgml, 77, 1365, 1.0, 0.14053157460417048, 0.26905496955915204, 0.0
otherSim_intersection_ged_similarity.csv, gml, 0, 3294, 1.0, 0.8850577584926049, 0.15249378349172713, 1.0
otherSim_intersection_ged_similarity.csv, fullgml, 77, 1365, 1.0, 0.8765992937857715, 0.1440491979774684, 1.0
otherSim_intersection_rw_kernel.csv, gml, 0, 3536, 1.0, 0.41830400430254927, 0.3974515203579489, 0.25006256256256254
otherSim_intersection_rw_kernel.csv, fullgml, 100, 715, 1.0, 0.26784404631663056, 0.3634243351687942, 0.07149489795918368
otherSim_intersection_rw_kernel_unnormalized.csv, gml, 0, 3536, 816.1622529975604, 18.632640288279465, 57.70163799298608, 2.0
otherSim_intersection_rw_kernel_unnormalized.csv, fullgml, 116, 149, 2661.8803162255167, 176.36018194195563, 418.2829367347114, 7.005000000000001
otherSim_intersection_vertex_jaccard_similarity.csv, gml, 0, 3294, 1.0, 0.9022465088038859, 0.2969810535288158, 1.0
otherSim_intersection_vertex_jaccard_similarity.csv, fullgml, 77, 1365, 1.0, 0.9274725274725275, 0.2593592841142365, 1.0
otherSim_vertex_edge_jaccard_similarity.csv, gml, 0, 3536, 1.0, 0.17149017582102363, 0.1541770888755883, 0.1337209488976562
otherSim_vertex_edge_jaccard_similarity.csv, fullgml, 0, 3536, 0.8877015176180224, 0.05493158972719413, 0.09827602983538074, 0.016666666666666666
otherSim_vertex_jaccard_similarity.csv, gml, 0, 3536, 1.0, 0.3309855327569467, 0.29485757752929853, 0.25
otherSim_vertex_jaccard_similarity.csv, fullgml, 0, 3536, 1.0, 0.09748014039118669, 0.18617035847245966, 0.03076923076923077
