Root path: ../../graphs/
Sample Size: 10

type; dataset; language; mean; std
gml; theoremGML; fr; 0.036402500793959666; 0.00022740756828705045
gml; theoremGML; es; 0.049673677829098276; 0.0006371219779198265
gml; theoremGML; pl; 0.0589560456257021; 0.0007676750595078929
gml; theoremGML; vi; 0.0827931626410134; 0.0014906205234255098
gml; theoremGML; de; 0.03696817679487964; 0.00032465652400910877
gml; theoremGML; nl; 0.06803785764941755; 0.0006441723179361142
gml; theoremGML; ja; 0.04816822108280173; 0.0005171894967384044
gml; theoremGML; it; 0.04825009551698524; 0.00021017459927179471
gml; theoremGML; en; 0.023948859956772345; 0.00012436547304929497
gml; theoremGML; sv; 0.06770852859960619; 0.0008172367400713136
gml; theoremGML; ru; 0.03915091941863426; 0.00026509710981502025
gml; theoremGML; war; 1.0; 0.0
gml; holydayGML; fr; 0.12939478689775158; 0.004693375663970725
gml; holydayGML; es; 0.12735902440577057; 0.005687134805948082
gml; holydayGML; pl; 0.1461238473135983; 0.0047409146815711
gml; holydayGML; vi; 0.19174688786206787; 0.012517784165451696
gml; holydayGML; de; 0.13518610917320714; 0.004536554376522757
gml; holydayGML; nl; 0.1649021562406178; 0.010241503124898792
gml; holydayGML; ja; 0.13107465892005576; 0.003243929286629505
gml; holydayGML; it; 0.13056700719646672; 0.00640888610344475
gml; holydayGML; ceb; 0.35780187683336023; 0.022502231601128436
gml; holydayGML; en; 0.11848477894660185; 0.001236633545515938
gml; holydayGML; sv; 0.13639097635422476; 0.007412072774322386
gml; holydayGML; ru; 0.12208180904711093; 0.004146721987434735
gml; holydayGML; war; 0.6955717050561905; 0.07837293643414144
gml; paintingGML; fr; 0.11109095781279858; 0.0008309668645832231
gml; paintingGML; es; 0.02543796049754336; 0.00015961213833706677
