Root path: ../../graphs/oecd/
Sample Size: 10

type; dataset; language; mean; std
gml; Psychology; bat-smg; 1.0; 0.0
gml; Psychology; eu; 0.5145604987073995; 0.06398200920923706
gml; Psychology; fi; 1.0; 0.0
gml; Psychology; id; 1.0; 0.0
gml; Psychology; lb; 1.0; 0.0
gml; Psychology; ast; 1.0; 0.0
gml; Psychology; eo; 0.4657302787925646; 0.033810571079595154
gml; Psychology; sco; 1.0; 0.0
gml; Psychology; ar; 1.0; 0.0
gml; Psychology; fr; 0.5754985473471381; 0.0940501994867705
gml; Psychology; br; 1.0; 0.0
gml; Psychology; csb; 1.0; 0.0
gml; Psychology; mr; 1.0; 0.0
gml; Psychology; tr; 0.7918156104580435; 0.13708037133960363
gml; Psychology; lv; 1.0; 0.0
gml; Psychology; el; 1.0; 0.0
gml; Psychology; hr; 0.7378760925760742; 0.11093104101371815
gml; Psychology; nn; 0.6299201245091638; 0.245409216616063
gml; Psychology; crh; 1.0; 0.0
gml; Psychology; xmf; 1.0; 0.0
gml; Psychology; es; 0.3793452124981693; 0.038505190471398804
gml; Psychology; pl; 0.6879681513063016; 0.06424253093527696
gml; Psychology; vi; 1.0; 0.0
gml; Psychology; zh-yue; 1.0; 0.0
gml; Psychology; gd; 1.0; 0.0
gml; Psychology; uk; 1.0; 0.0
gml; Psychology; de; 0.6845047062922747; 0.07204440684630953
gml; Psychology; gom; 1.0; 0.0
gml; Psychology; diq; 1.0; 0.0
gml; Psychology; kn; 1.0; 0.0
gml; Psychology; ml; 1.0; 0.0
gml; Psychology; sh; 1.0; 0.0
gml; Psychology; et; 1.0; 0.0
gml; Psychology; cs; 0.8078812474147057; 0.11859337274039888
gml; Psychology; nl; 1.0; 0.0
gml; Psychology; pt; 1.0; 0.0
gml; Psychology; sd; 1.0; 0.0
gml; Psychology; ro; 1.0; 0.0
gml; Psychology; sq; 1.0; 0.0
gml; Psychology; ja; 1.0; 0.0
gml; Psychology; ne; 1.0; 0.0
gml; Psychology; min; 1.0; 0.0
gml; Psychology; fy; 1.0; 0.0
gml; Psychology; be-tarask; 1.0; 0.0
gml; Psychology; be; 1.0; 0.0
gml; Psychology; is; 1.0; 0.0
gml; Psychology; ta; 1.0; 0.0
gml; Psychology; hy; 1.0; 0.0
gml; Psychology; cy; 1.0; 0.0
gml; Psychology; simple; 0.43546929469763845; 0.02249881921223458
gml; Psychology; la; 1.0; 0.0
gml; Psychology; ka; 1.0; 0.0
gml; Psychology; it; 0.7007316252496117; 0.09975956580040603
gml; Psychology; he; 1.0; 0.0
gml; Psychology; da; 1.0; 0.0
gml; Psychology; arc; 1.0; 0.0
gml; Psychology; fa; 1.0; 0.0
gml; Psychology; scn; 1.0; 0.0
gml; Psychology; wa; 0.7084890963512528; 0.10216544257655535
gml; Psychology; en; 0.24329159219747715; 0.010836228236720917
gml; Psychology; tl; 0.96996186120898; 0.09011441637306009
gml; Psychology; sk; 0.7271168676717737; 0.1125579240977152
gml; Psychology; sw; 1.0; 0.0
gml; Psychology; th; 1.0; 0.0
gml; Psychology; ku; 1.0; 0.0
gml; Psychology; sr; 1.0; 0.0
gml; Psychology; sv; 1.0; 0.0
gml; Psychology; oc; 1.0; 0.0
gml; Psychology; li; 1.0; 0.0
gml; Psychology; no; 1.0; 0.0
gml; Psychology; bg; 1.0; 0.0
gml; Psychology; ky; 1.0; 0.0
gml; Psychology; bn; 1.0; 0.0
gml; Psychology; hyw; 1.0; 0.0
gml; Psychology; or; 1.0; 0.0
gml; Psychology; chr; 1.0; 0.0
gml; Psychology; ru; 1.0; 0.0
gml; Psychology; hi; 1.0; 0.0
gml; Psychology; wuu; 1.0; 0.0
gml; Psychology; arz; 1.0; 0.0
gml; Psychology; az; 1.0; 0.0
gml; Psychology; bs; 1.0; 0.0
gml; Psychology; te; 1.0; 0.0
gml; Psychology; zh; 1.0; 0.0
gml; Psychology; ace; 1.0; 0.0
gml; Psychology; mk; 1.0; 0.0
gml; Psychology; sl; 1.0; 0.0
gml; Psychology; su; 1.0; 0.0
gml; Psychology; ga; 1.0; 0.0
gml; Psychology; gl; 1.0; 0.0
gml; Psychology; hu; 0.6794792410485767; 0.1461119441345263
gml; Psychology; uz; 1.0; 0.0
gml; Psychology; ko; 1.0; 0.0
gml; Psychology; ms; 0.7286972349029237; 0.11177311007544515
gml; Psychology; ca; 1.0; 0.0
gml; Psychology; lt; 1.0; 0.0
gml; Psychology; kk; 1.0; 0.0
gml; Psychology; ur; 1.0; 0.0
gml; Psychology; ha; 1.0; 0.0
gml; Psychology; nrm; 1.0; 0.0
gml; Chemical engineering; fi; 1.0; 0.0
gml; Chemical engineering; se; 1.0; 0.0
gml; Chemical engineering; vep; 1.0; 0.0
gml; Chemical engineering; fiu-vro; 1.0; 0.0
gml; Chemical engineering; pl; 1.0; 0.0
gml; Chemical engineering; vi; 1.0; 0.0
gml; Chemical engineering; uk; 1.0; 0.0
gml; Chemical engineering; de; 1.0; 0.0
gml; Chemical engineering; et; 1.0; 0.0
gml; Chemical engineering; cs; 1.0; 0.0
gml; Chemical engineering; ja; 1.0; 0.0
gml; Chemical engineering; la; 1.0; 0.0
gml; Chemical engineering; en; 0.5221327184094237; 0.03827094488779312
gml; Chemical engineering; sv; 1.0; 0.0
gml; Chemical engineering; ru; 1.0; 0.0
gml; Chemical engineering; lt; 1.0; 0.0
gml; Physical sciences; bat-smg; 1.0; 0.0
gml; Physical sciences; nds; 1.0; 0.0
gml; Physical sciences; eu; 0.07434868504859793; 0.00026945047993705507
gml; Physical sciences; fi; 0.45173579269392405; 0.028662705863563172
gml; Physical sciences; id; 0.20891998912752605; 0.006549698799693875
gml; Physical sciences; lb; 0.1166871560148531; 0.0051207920310727476
gml; Physical sciences; ast; 0.10319027979168324; 0.0014703600196203472
gml; Physical sciences; eo; 0.054233119145965125; 0.000334724464659536
gml; Physical sciences; sco; 1.0; 0.0
gml; Physical sciences; tk; 1.0; 0.0
gml; Physical sciences; vep; 1.0; 0.0
gml; Physical sciences; ar; 0.09100682652156858; 0.00045223659053795606
gml; Physical sciences; fr; 0.06828199446560008; 7.715308671163672e-05
gml; Physical sciences; br; 1.0; 0.0
gml; Physical sciences; mr; 1.0; 0.0
gml; Physical sciences; tr; 0.045394457410297226; 0.00015061157541647877
gml; Physical sciences; lv; 1.0; 0.0
gml; Physical sciences; mzn; 1.0; 0.0
gml; Physical sciences; el; 0.1921306879199254; 0.001801618211773013
gml; Physical sciences; nap; 1.0; 0.0
gml; Physical sciences; nv; 1.0; 0.0
gml; Physical sciences; hr; 0.045129855324776515; 4.8018535018619285e-05
gml; Physical sciences; nn; 0.2674240925908043; 0.02000285759309161
gml; Physical sciences; rue; 1.0; 0.0
gml; Physical sciences; es; 0.09352212996515549; 0.0019157632533676648
gml; Physical sciences; pl; 0.05577662221741079; 0.0003394626008737819
gml; Physical sciences; mg; 1.0; 0.0
gml; Physical sciences; vi; 0.1843852743231818; 0.006147986237571807
gml; Physical sciences; zh-yue; 1.0; 0.0
gml; Physical sciences; uk; 0.05304066590460495; 0.0005863306497592924
gml; Physical sciences; de; 0.045071698959870364; 6.994077731395588e-05
gml; Physical sciences; diq; 0.30124668180561465; 0.009846687897184505
gml; Physical sciences; an; 1.0; 0.0
gml; Physical sciences; kn; 1.0; 0.0
gml; Physical sciences; bar; 1.0; 0.0
gml; Physical sciences; ml; 1.0; 0.0
gml; Physical sciences; io; 1.0; 0.0
gml; Physical sciences; pa; 1.0; 0.0
gml; Physical sciences; sh; 0.058743603865662505; 0.00015833240811768316
gml; Physical sciences; et; 0.2966625540846521; 0.013659466579326459
gml; Physical sciences; cs; 0.1504056345383758; 0.004522352288371323
gml; Physical sciences; yi; 1.0; 0.0
gml; Physical sciences; nl; 0.043634400327558345; 9.674394167096313e-06
gml; Physical sciences; fj; 1.0; 0.0
gml; Physical sciences; si; 1.0; 0.0
gml; Physical sciences; pt; 0.06184343050466399; 0.0008530664567687729
gml; Physical sciences; sd; 1.0; 0.0
gml; Physical sciences; ro; 0.1704389998568171; 0.0015491899935628163
gml; Physical sciences; sq; 1.0; 0.0
gml; Physical sciences; ja; 0.19198355602959005; 0.007939165171060697
gml; Physical sciences; ne; 1.0; 0.0
gml; Physical sciences; ht; 1.0; 0.0
gml; Physical sciences; fy; 1.0; 0.0
gml; Physical sciences; ki; 1.0; 0.0
gml; Physical sciences; be-tarask; 1.0; 0.0
gml; Physical sciences; be; 0.05249730499208257; 0.0005859210730524636
gml; Physical sciences; is; 1.0; 0.0
gml; Physical sciences; ta; 1.0; 0.0
gml; Physical sciences; hy; 0.27911367528796405; 0.022644186150404057
gml; Physical sciences; cy; 1.0; 0.0
gml; Physical sciences; simple; 0.29398021233361954; 0.01596668084159366
gml; Physical sciences; la; 0.666749613456525; 0.0016277194271745103
gml; Physical sciences; ka; 0.18855497636637106; 0.008554533421841301
gml; Physical sciences; tt; 0.3752905716224932; 0.015437961470766499
gml; Physical sciences; it; 0.10780193454351379; 0.0027358797937693602
gml; Physical sciences; kab; 1.0; 0.0
gml; Physical sciences; he; 1.0; 0.0
gml; Physical sciences; da; 0.31615711507906774; 0.009007216650243283
gml; Physical sciences; fa; 1.0; 0.0
gml; Physical sciences; scn; 1.0; 0.0
