Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.011126518249511719
id, fr, 0.09514716017994947, 0.013695955276489258
id, mr, 0.08683562260413592, 0.0039255619049072266
id, tr, 0.11197640043800944, 0.011960744857788086
id, lv, 0.08753135575107222, 0.007974386215209961
id, el, 0.08683562260413592, 0.0026171207427978516
id, es, 0.09190829013219058, 0.013233661651611328
id, pl, 0.09070819305593628, 0.011960268020629883
id, vi, 0.09816732282287695, 0.011916160583496094
id, de, 0.07203274362908293, 0.002557992935180664
id, ml, 0.08683562260413592, 0.009334325790405273
id, sh, 0.10070906408319145, 0.011922836303710938
id, nl, 0.10638641309315013, 0.007959604263305664
id, si, 0.08683562260413592, 0.00791788101196289
id, pt, 0.09688379757873086, 0.007952690124511719
id, ro, 0.09611747762073514, 0.003942728042602539
id, ja, 0.0881197174501006, 0.007976293563842773
id, simple, 0.10199911040040477, 0.011899232864379883
id, it, 0.08499122812612403, 0.007935285568237305
id, ceb, 0.08683562260413592, 0.0026760101318359375
id, he, 0.08818414838392034, 0.013210296630859375
id, da, 0.10276626984206563, 0.003929853439331055
id, en, 0.06144158029336683, 0.002610445022583008
id, sr, 0.08978109408902867, 0.009299278259277344
id, sv, 0.09635845073234683, 0.00793600082397461
id, ckb, 0.08683562260413592, 0.0025947093963623047
id, ru, 0.08683562260413592, 0.009335517883300781
id, hi, 0.08683562260413592, 0.007901191711425781
id, arz, 0.08683562260413592, 0.00794363021850586
id, bs, 0.10245091706419165, 0.003975629806518555
id, te, 0.08683562260413592, 0.007903337478637695
id, zh, 0.08683562260413592, 0.007950305938720703
id, mk, 0.08683562260413592, 0.0069501399993896484
id, hu, 0.09231955440962057, 0.012938499450683594
id, ko, 0.08683562260413592, 0.007972240447998047
id, war, 0.08863797524095252, 0.003905057907104492
id, union, 0.05995201201426398, 0.007946014404296875
fr, fr, 1.0, 0.003950595855712891
fr, mr, 0.15182930008714368, 0.007927894592285156
fr, tr, 0.15919200203195688, 0.007949113845825195
fr, lv, 0.15398874164000328, 0.003957033157348633
fr, el, 0.15182930008714368, 0.007916927337646484
fr, es, 0.12287818491082897, 0.007963418960571289
fr, pl, 0.11325903766301566, 0.007975578308105469
fr, vi, 0.1416086219489684, 0.01190328598022461
fr, de, 0.06520497425164554, 0.0039501190185546875
fr, ml, 0.15182930008714368, 0.00792837142944336
fr, sh, 0.1168527526995786, 0.007950305938720703
fr, nl, 0.11987602978325683, 0.003977060317993164
fr, si, 0.15182930008714368, 0.007895469665527344
fr, pt, 0.14092886881116742, 0.007956981658935547
fr, ro, 0.14484474662843044, 0.0039556026458740234
fr, ja, 0.1535337231481865, 0.00791478157043457
fr, simple, 0.1097867433358329, 0.007981061935424805
fr, it, 0.08592821121272856, 0.003927946090698242
fr, ceb, 0.15182930008714368, 0.007922887802124023
fr, he, 0.15453980453798982, 0.002628803253173828
fr, da, 0.16442477095654812, 0.009279251098632812
fr, en, 0.059110076692816996, 0.007913827896118164
fr, sr, 0.1442326236861883, 0.0026869773864746094
fr, sv, 0.15079778685146156, 0.009228944778442383
fr, ckb, 0.15182930008714368, 0.007917404174804688
fr, ru, 0.15182930008714368, 0.007968664169311523
fr, hi, 0.15182930008714368, 0.003926515579223633
fr, arz, 0.15182930008714368, 0.003977775573730469
fr, bs, 0.14895005943152315, 0.0027358531951904297
fr, te, 0.15182930008714368, 0.002586841583251953
fr, zh, 0.15182930008714368, 0.010503053665161133
fr, mk, 0.15182930008714368, 0.0028581619262695312
fr, hu, 0.1350266839390879, 0.009035587310791016
fr, ko, 0.15182930008714368, 0.007915735244750977
fr, war, 0.1548022364855144, 0.002758502960205078
fr, union, 0.05510424890522229, 0.0026895999908447266
mr, mr, 1.0, 0.002689838409423828
mr, tr, 0.17265138117443296, 0.0026814937591552734
mr, lv, 0.49739182957231065, 0.008922338485717773
mr, el, 1.0, 0.007944107055664062
mr, es, 0.11464585852834698, 0.002604246139526367
mr, pl, 0.1027842685271206, 0.00926351547241211
mr, vi, 0.15917207591065047, 0.002783060073852539
mr, de, 0.058718300053928425, 0.0026831626892089844
mr, ml, 1.0, 0.0027599334716796875
mr, sh, 0.11268150194871508, 0.011563777923583984
mr, nl, 0.10727825923018487, 0.0027201175689697266
mr, si, 1.0, 0.0026702880859375
mr, pt, 0.1647765952563491, 0.0027036666870117188
mr, ro, 0.194927392411348, 0.0026836395263671875
mr, ja, 0.6824873346220893, 0.008944034576416016
mr, simple, 0.10679071873858301, 0.002860546112060547
mr, it, 0.07487852113571129, 0.017008066177368164
mr, ceb, 1.0, 0.0026187896728515625
mr, he, 0.6197923089648248, 0.0026929378509521484
mr, da, 0.1820338665388678, 0.0026717185974121094
mr, en, 0.053846027324521706, 0.011825799942016602
mr, sr, 0.17844669095166688, 0.0039212703704833984
mr, sv, 0.1429484914929895, 0.0027463436126708984
mr, ckb, 1.0, 0.002636432647705078
mr, ru, 1.0, 0.010484457015991211
mr, hi, 1.0, 0.007922649383544922
