Root path: ../../graphs/oecdTopics/
Sample Size: 100

type; dataset; language; mean; stdgml; work; fr; 0.5; 0.0
gml; work; es; 0.5; 0.0
gml; work; pl; 0.5; 0.0
gml; work; de; 0.5; 0.0
gml; work; nl; 0.5; 0.0
gml; work; pt; 0.5; 0.0
gml; work; ro; 0.5; 0.0
gml; work; ja; 0.5; 0.0
gml; work; it; 0.5; 0.0
gml; work; he; 0.5; 0.0
gml; work; da; 0.5; 0.0
gml; work; en; 0.5; 0.0
gml; work; sv; 0.5; 0.0
gml; work; ru; 0.5; 0.0
gml; work; hi; 0.5; 0.0
gml; work; zh; 0.5; 0.0
gml; work; ko; 0.5; 0.0
gml; data; fr; 0.5; 0.0
gml; data; es; 0.5; 0.0
gml; data; pl; 0.5; 0.0
gml; data; vi; 0.5; 0.0
gml; data; de; 0.5; 0.0
gml; data; nl; 0.5; 0.0
gml; data; pt; 0.5; 0.0
gml; data; ja; 0.5; 0.0
gml; data; he; 0.5; 0.0
gml; data; en; 0.5783333333333333; 0.10125600119389357
gml; data; sr; 0.5; 0.0
gml; data; ru; 0.5; 0.0
gml; data; hi; 0.5; 0.0
gml; data; zh; 0.5; 0.0
gml; history of art; en; 0.5; 0.0
gml; prehistory; id; 0.5; 0.0
gml; prehistory; fr; 0.5; 0.0
gml; prehistory; mr; 0.5; 0.0
gml; prehistory; tr; 0.5; 0.0
gml; prehistory; lv; 0.5; 0.0
gml; prehistory; el; 0.5; 0.0
gml; prehistory; es; 0.5; 0.0
gml; prehistory; pl; 0.5; 0.0
gml; prehistory; vi; 0.5; 0.0
gml; prehistory; de; 0.5; 0.0
gml; prehistory; ml; 0.5; 0.0
gml; prehistory; sh; 0.5; 0.0
gml; prehistory; nl; 0.5; 0.0
gml; prehistory; si; 0.5; 0.0
gml; prehistory; pt; 0.5; 0.0
gml; prehistory; ro; 0.5; 0.0
gml; prehistory; ja; 0.5; 0.0
gml; prehistory; simple; 0.5; 0.0
gml; prehistory; it; 0.5; 0.0
gml; prehistory; ceb; 0.5; 0.0
gml; prehistory; he; 0.5; 0.0
gml; prehistory; da; 0.5; 0.0
gml; prehistory; en; 0.58; 0.116619037896906
gml; prehistory; sr; 0.5; 0.0
gml; prehistory; sv; 0.5; 0.0
gml; prehistory; ru; 0.5; 0.0
gml; prehistory; hi; 0.5; 0.0
gml; prehistory; bs; 0.5; 0.0
gml; prehistory; zh; 0.5; 0.0
gml; prehistory; mk; 0.5; 0.0
gml; prehistory; hu; 0.5; 0.0
gml; prehistory; ko; 0.5; 0.0
gml; prehistory; war; 0.5; 0.0
gml; chemical element; id; 0.899641106030098; 0.0006811474577769922
gml; chemical element; fr; 0.7987280302131811; 0.001120242259723298
gml; chemical element; mr; 0.5; 0.0
gml; chemical element; tr; 0.776638561682072; 0.0014217757656912518
gml; chemical element; lv; 0.7041804610943606; 0.0015985094744556348
gml; chemical element; el; 0.5; 0.0
gml; chemical element; es; 0.8147161209064941; 0.001213847562564863
gml; chemical element; pl; 0.9328762734721956; 0.00047551866259062497
gml; chemical element; vi; 0.8446961799014028; 0.0009037014557317788
gml; chemical element; de; 0.9019824423174163; 0.000638349809262864
gml; chemical element; ml; 0.5; 0.0
gml; chemical element; sh; 0.5389220355295378; 0.0021278918473263252
gml; chemical element; nl; 0.9681855389740675; 0.0002672615505172838
gml; chemical element; si; 0.5; 0.0
gml; chemical element; pt; 0.5408409014070029; 0.002146235678771529
gml; chemical element; ro; 0.9387285482324091; 0.000504678850417026
gml; chemical element; ja; 0.5; 0.0
gml; chemical element; simple; 0.9545275858026798; 0.00035102061976801887
gml; chemical element; it; 0.9760178247700045; 0.00018418897086225857
gml; chemical element; ceb; 0.931827017106901; 0.0004724345144264676
gml; chemical element; he; 0.5; 0.0
gml; chemical element; da; 0.9380077630360212; 0.0004657025327110065
gml; chemical element; en; 0.7905190130978784; 0.0010106252238153202
gml; chemical element; sr; 0.5; 0.0
gml; chemical element; sv; 0.8497627002597967; 0.0009626706524454763
gml; chemical element; ckb; 0.5; 0.0
gml; chemical element; ru; 0.5; 0.0
gml; chemical element; hi; 0.5; 0.0
gml; chemical element; arz; 0.5; 0.0
gml; chemical element; bs; 0.9593648879049661; 0.0003235738388535461
gml; chemical element; te; 0.5; 0.0
gml; chemical element; zh; 0.5185548895538095; 0.0021376017940423187
gml; chemical element; mk; 0.5; 0.0
gml; chemical element; hu; 0.5968230495509019; 0.0017425433969085172
gml; chemical element; ko; 0.5; 0.0
gml; chemical element; war; 0.5; 0.0
gml; dialect; id; 0.5106546603739344; 0.002466314407434279
gml; dialect; fr; 0.503704471304465; 0.0005302029154747921
gml; dialect; mr; 0.5; 0.0
gml; dialect; tr; 0.5014223222097238; 0.002473066596321072
gml; dialect; lv; 0.5; 0.0
