Root path: ../../graphs/oecdTopics/
Sample Size: 100

type; dataset; language; mean; stdgml; work; fr; 1.0; 0.0
gml; work; es; 1.0; 0.0
gml; work; pl; 1.0; 0.0
gml; work; de; 1.0; 0.0
gml; work; nl; 1.0; 0.0
gml; work; pt; 1.0; 0.0
gml; work; ro; 1.0; 0.0
gml; work; ja; 1.0; 0.0
gml; work; it; 1.0; 0.0
gml; work; he; 1.0; 0.0
gml; work; da; 1.0; 0.0
gml; work; en; 1.0; 0.0
gml; work; sv; 1.0; 0.0
gml; work; ru; 1.0; 0.0
gml; work; hi; 1.0; 0.0
gml; work; zh; 1.0; 0.0
gml; work; ko; 1.0; 0.0
gml; data; fr; 1.0; 0.0
gml; data; es; 1.0; 0.0
gml; data; pl; 1.0; 0.0
gml; data; vi; 1.0; 0.0
gml; data; de; 1.0; 0.0
gml; data; nl; 1.0; 0.0
gml; data; pt; 1.0; 0.0
gml; data; ja; 1.0; 0.0
gml; data; he; 1.0; 0.0
gml; data; en; 1.0; 0.0
gml; data; sr; 1.0; 0.0
gml; data; ru; 1.0; 0.0
gml; data; hi; 1.0; 0.0
gml; data; zh; 1.0; 0.0
gml; history of art; en; 1.0; 0.0
gml; prehistory; id; 1.0; 0.0
gml; prehistory; fr; 1.0; 0.0
gml; prehistory; mr; 1.0; 0.0
gml; prehistory; tr; 1.0; 0.0
gml; prehistory; lv; 1.0; 0.0
gml; prehistory; el; 1.0; 0.0
gml; prehistory; es; 1.0; 0.0
gml; prehistory; pl; 1.0; 0.0
gml; prehistory; vi; 1.0; 0.0
gml; prehistory; de; 1.0; 0.0
gml; prehistory; ml; 1.0; 0.0
gml; prehistory; sh; 1.0; 0.0
gml; prehistory; nl; 1.0; 0.0
gml; prehistory; si; 1.0; 0.0
gml; prehistory; pt; 1.0; 0.0
gml; prehistory; ro; 1.0; 0.0
gml; prehistory; ja; 1.0; 0.0
gml; prehistory; simple; 1.0; 0.0
gml; prehistory; it; 1.0; 0.0
gml; prehistory; ceb; 1.0; 0.0
gml; prehistory; he; 1.0; 0.0
gml; prehistory; da; 1.0; 0.0
gml; prehistory; en; 1.0; 0.0
gml; prehistory; sr; 1.0; 0.0
gml; prehistory; sv; 1.0; 0.0
gml; prehistory; ru; 1.0; 0.0
gml; prehistory; hi; 1.0; 0.0
gml; prehistory; bs; 1.0; 0.0
gml; prehistory; zh; 1.0; 0.0
gml; prehistory; mk; 1.0; 0.0
gml; prehistory; hu; 1.0; 0.0
gml; prehistory; ko; 1.0; 0.0
gml; prehistory; war; 1.0; 0.0
gml; chemical element; id; 1.0; 0.0
gml; chemical element; fr; 1.0; 0.0
gml; chemical element; mr; 1.0; 0.0
gml; chemical element; tr; 1.0; 0.0
gml; chemical element; lv; 1.0; 0.0
gml; chemical element; el; 1.0; 0.0
gml; chemical element; es; 1.0; 0.0
gml; chemical element; pl; 1.0; 0.0
gml; chemical element; vi; 1.0; 0.0
gml; chemical element; de; 1.0; 0.0
gml; chemical element; ml; 1.0; 0.0
gml; chemical element; sh; 1.0; 0.0
gml; chemical element; nl; 1.0; 0.0
gml; chemical element; si; 1.0; 0.0
gml; chemical element; pt; 1.0; 0.0
gml; chemical element; ro; 1.0; 0.0
gml; chemical element; ja; 1.0; 0.0
gml; chemical element; simple; 1.0; 0.0
gml; chemical element; it; 1.0; 0.0
gml; chemical element; ceb; 1.0; 0.0
gml; chemical element; he; 1.0; 0.0
gml; chemical element; da; 1.0; 0.0
gml; chemical element; en; 1.0; 0.0
gml; chemical element; sr; 1.0; 0.0
gml; chemical element; sv; 1.0; 0.0
gml; chemical element; ckb; 1.0; 0.0
gml; chemical element; ru; 1.0; 0.0
gml; chemical element; hi; 1.0; 0.0
gml; chemical element; arz; 1.0; 0.0
gml; chemical element; bs; 1.0; 0.0
gml; chemical element; te; 1.0; 0.0
gml; chemical element; zh; 1.0; 0.0
gml; chemical element; mk; 1.0; 0.0
gml; chemical element; hu; 1.0; 0.0
gml; chemical element; ko; 1.0; 0.0
gml; chemical element; war; 1.0; 0.0
gml; dialect; id; 1.0; 0.0
gml; dialect; fr; 1.0; 0.0
gml; dialect; mr; 1.0; 0.0
gml; dialect; tr; 1.0; 0.0
gml; dialect; lv; 1.0; 0.0
gml; dialect; el; 1.0; 0.0
gml; dialect; es; 1.0; 0.0
gml; dialect; pl; 1.0; 0.0
gml; dialect; vi; 1.0; 0.0
gml; dialect; de; 1.0; 0.0
gml; dialect; ml; 1.0; 0.0
gml; dialect; sh; 1.0; 0.0
gml; dialect; nl; 1.0; 0.0
gml; dialect; si; 1.0; 0.0
gml; dialect; pt; 1.0; 0.0
gml; dialect; ro; 1.0; 0.0
gml; dialect; ja; 1.0; 0.0
gml; dialect; simple; 1.0; 0.0
gml; dialect; it; 1.0; 0.0
gml; dialect; ceb; 1.0; 0.0
gml; dialect; he; 1.0; 0.0
gml; dialect; da; 1.0; 0.0
gml; dialect; en; 1.0; 0.0
gml; dialect; sr; 1.0; 0.0
gml; dialect; sv; 1.0; 0.0
gml; dialect; ckb; 1.0; 0.0
gml; dialect; ru; 1.0; 0.0
gml; dialect; hi; 1.0; 0.0
gml; dialect; arz; 1.0; 0.0
gml; dialect; bs; 1.0; 0.0
gml; dialect; te; 1.0; 0.0
gml; dialect; zh; 1.0; 0.0
gml; dialect; mk; 1.0; 0.0
gml; dialect; hu; 1.0; 0.0
gml; dialect; ko; 1.0; 0.0
gml; dialect; war; 1.0; 0.0
gml; coat of arms; id; 1.0; 0.0
gml; coat of arms; fr; 1.0; 0.0
gml; coat of arms; tr; 1.0; 0.0
gml; coat of arms; lv; 1.0; 0.0
gml; coat of arms; el; 1.0; 0.0
gml; coat of arms; es; 1.0; 0.0
gml; coat of arms; pl; 1.0; 0.0
gml; coat of arms; vi; 1.0; 0.0
gml; coat of arms; de; 1.0; 0.0
gml; coat of arms; sh; 1.0; 0.0
gml; coat of arms; nl; 1.0; 0.0
gml; coat of arms; pt; 1.0; 0.0
gml; coat of arms; ro; 1.0; 0.0
gml; coat of arms; ja; 1.0; 0.0
gml; coat of arms; simple; 1.0; 0.0
gml; coat of arms; it; 1.0; 0.0
gml; coat of arms; he; 1.0; 0.0
gml; coat of arms; da; 1.0; 0.0
gml; coat of arms; en; 1.0; 0.0
gml; coat of arms; sr; 1.0; 0.0
gml; coat of arms; sv; 1.0; 0.0
gml; coat of arms; ru; 1.0; 0.0
gml; coat of arms; hi; 1.0; 0.0
gml; coat of arms; arz; 1.0; 0.0
gml; coat of arms; bs; 1.0; 0.0
gml; coat of arms; zh; 1.0; 0.0
gml; coat of arms; mk; 1.0; 0.0
gml; coat of arms; hu; 1.0; 0.0
gml; coat of arms; ko; 1.0; 0.0
gml; chemical compound; id; 1.0; 0.0
gml; chemical compound; fr; 1.0; 0.0
gml; chemical compound; mr; 1.0; 0.0
gml; chemical compound; tr; 1.0; 0.0
gml; chemical compound; lv; 1.0; 0.0
gml; chemical compound; el; 1.0; 0.0
gml; chemical compound; es; 1.0; 0.0
gml; chemical compound; pl; 1.0; 0.0
gml; chemical compound; vi; 1.0; 0.0
gml; chemical compound; de; 1.0; 0.0
gml; chemical compound; ml; 1.0; 0.0
gml; chemical compound; sh; 1.0; 0.0
gml; chemical compound; nl; 1.0; 0.0
gml; chemical compound; si; 1.0; 0.0
gml; chemical compound; pt; 1.0; 0.0
gml; chemical compound; ro; 1.0; 0.0
gml; chemical compound; ja; 1.0; 0.0
gml; chemical compound; simple; 1.0; 0.0
gml; chemical compound; it; 1.0; 0.0
gml; chemical compound; ceb; 1.0; 0.0
gml; chemical compound; he; 1.0; 0.0
gml; chemical compound; da; 1.0; 0.0
gml; chemical compound; en; 1.0; 0.0
gml; chemical compound; sr; 1.0; 0.0
gml; chemical compound; sv; 1.0; 0.0
gml; chemical compound; ckb; 1.0; 0.0
gml; chemical compound; ru; 1.0; 0.0
gml; chemical compound; hi; 1.0; 0.0
gml; chemical compound; arz; 1.0; 0.0
gml; chemical compound; bs; 1.0; 0.0
gml; chemical compound; te; 1.0; 0.0
gml; chemical compound; zh; 1.0; 0.0
gml; chemical compound; mk; 1.0; 0.0
gml; chemical compound; hu; 1.0; 0.0
gml; chemical compound; ko; 1.0; 0.0
gml; chemical compound; war; 1.0; 0.0
