Root path: ../../graphs/oecdTopics/
Sample Size: 100

type; dataset; language; mean; stdgml; work; fr; 0.0; 0.0
gml; coat of arms; fr; 0.029354816655402405; 0.002935882186224849
gml; coat of arms; tr; 0.0; 0.0
gml; coat of arms; lv; 0.0; 0.0
gml; coat of arms; el; 0.0; 0.0
gml; coat of arms; es; 0.00014989293361884371; 0.0005463533542686542
gml; coat of arms; pl; 0.009492862534755096; 0.0001857293557507741
gml; coat of arms; vi; 0.0; 0.0
gml; coat of arms; de; 0.007252869099336648; 0.001485766199203069
gml; coat of arms; sh; 0.07427143797692129; 0.011409306064569752
gml; coat of arms; nl; 0.011449882994259766; 0.0013826679499002704
gml; coat of arms; pt; 0.0; 0.0
gml; coat of arms; ro; 0.01916024588438382; 0.029949276429252835
gml; coat of arms; ja; 0.0; 0.0
gml; coat of arms; simple; 0.0; 0.0
gml; coat of arms; it; 0.05731655385470476; 0.0021479671565179615
gml; coat of arms; he; 0.0; 0.0
gml; coat of arms; da; 0.0; 0.0
gml; coat of arms; en; 0.015182567672066067; 0.0011729263259481534
gml; coat of arms; sr; 0.0; 0.0
gml; coat of arms; sv; 0.005421017895816382; 0.0027000883735260497
gml; coat of arms; ru; 0.0; 0.0
gml; coat of arms; hi; 0.0; 0.0
gml; coat of arms; arz; 0.0; 0.0
gml; coat of arms; bs; 0.06780759460805154; 0.009972528592667425
gml; coat of arms; zh; 0.0; 0.0
gml; coat of arms; mk; 0.0; 0.0
gml; coat of arms; hu; 0.0; 0.0
gml; coat of arms; ko; 0.0; 0.0
gml; chemical compound; id; 0.013296141533363679; 0.0019943348807657736
gml; chemical compound; fr; 0.004427125851678835; 0.0006805261395297058
gml; chemical compound; mr; 0.0; 0.0
gml; chemical compound; tr; 0.013883972835288154; 0.00271627654897531
gml; chemical compound; lv; 0.0028695858518932543; 0.002892217761180996
gml; chemical compound; el; 0.0; 0.0
gml; chemical compound; es; 0.002688192510746291; 0.0008668392829416745
gml; chemical compound; pl; 0.007784138405144235; 0.0009745170922173449
gml; chemical compound; vi; 0.0062163988320398; 0.001315535697468029
gml; chemical compound; de; 0.0018717498587598957; 0.0005951801157350198
gml; chemical compound; ml; 0.0; 0.0
gml; chemical compound; sh; 0.005172047850578037; 0.0007350192492015402
gml; chemical compound; nl; 0.004040364369744437; 0.0010112878446988428
gml; chemical compound; si; 0.0; 0.0
gml; chemical compound; pt; 0.002607419805375631; 0.0009732908591089583
gml; chemical compound; ro; 0.008378429502205182; 0.0017876475089712474
gml; chemical compound; ja; 0.0; 0.0
gml; chemical compound; simple; 0.005192464132189994; 0.002939820399491402
gml; chemical compound; it; 0.00841753097883301; 0.001008496855299413
gml; chemical compound; ceb; 0.0; 0.0
gml; chemical compound; he; 0.0; 0.0
gml; chemical compound; da; 0.005841613972401622; 0.003090208444101693
gml; chemical compound; en; 0.012482462396489553; 0.0006724215080281087
gml; chemical compound; sr; 0.00460866038652524; 0.0006337840580163052
gml; chemical compound; sv; 0.005124048680583724; 0.0013687004562587808
gml; chemical compound; ckb; 0.0; 0.0
gml; chemical compound; ru; 0.0; 0.0
gml; chemical compound; hi; 0.0; 0.0
gml; chemical compound; arz; 0.0; 0.0
gml; chemical compound; bs; 0.025182382022785235; 0.0032495324653587484
gml; chemical compound; te; 0.0; 0.0
gml; chemical compound; zh; 0.0; 0.0
gml; chemical compound; mk; 0.0; 0.0
gml; chemical compound; hu; 0.005131494174218066; 0.001370342053939772
gml; chemical compound; ko; 0.0; 0.0
gml; chemical compound; war; 0.0; 0.0
gml; thermodynamic process; id; 0.17960606060606055; 0.12599419506502135
gml; thermodynamic process; fr; 0.2496615767055422; 0.07299989659450211
gml; thermodynamic process; mr; 0.0; 0.0
gml; thermodynamic process; tr; 0.0; 0.0
gml; thermodynamic process; lv; 0.0; 0.0
gml; thermodynamic process; el; 0.0; 0.0
gml; thermodynamic process; es; 0.0; 0.0
gml; thermodynamic process; pl; 0.4866206570347438; 0.08014857744168966
gml; thermodynamic process; vi; 0.0; 0.0
gml; thermodynamic process; de; 0.0; 0.0
gml; thermodynamic process; sh; 0.14; 0.34698703145794946
gml; thermodynamic process; nl; 0.15748717948717947; 0.09139313527375409
gml; thermodynamic process; si; 0.0; 0.0
gml; thermodynamic process; pt; 0.0; 0.0
gml; thermodynamic process; ro; 0.04476190476190475; 0.0832502987676198
gml; thermodynamic process; ja; 0.0; 0.0
gml; thermodynamic process; simple; 0.0; 0.0
gml; thermodynamic process; it; 0.20839393939393935; 0.1161621163801263
gml; thermodynamic process; he; 0.0; 0.0
gml; thermodynamic process; da; 0.056666666666666664; 0.125210933139953
gml; thermodynamic process; en; 0.11526099568708262; 0.06540424969728321
gml; thermodynamic process; sr; 0.0; 0.0
gml; thermodynamic process; sv; 0.30487179487179483; 0.1315882642216087
gml; thermodynamic process; ckb; 0.0; 0.0
gml; thermodynamic process; ru; 0.0; 0.0
gml; thermodynamic process; hi; 0.0; 0.0
gml; thermodynamic process; bs; 1.0; 0.0
gml; thermodynamic process; zh; 0.0; 0.0
gml; thermodynamic process; mk; 0.0; 0.0
gml; thermodynamic process; hu; 0.0; 0.0
gml; thermodynamic process; ko; 0.0; 0.0
gml; standard language; id; 0.06000000000000001; 0.10677078252031313
gml; standard language; fr; 0.015; 0.06538348415311009
gml; standard language; mr; 0.0; 0.0
gml; standard language; tr; 0.0; 0.0
gml; standard language; lv; 0.0; 0.0
gml; standard language; el; 0.0; 0.0
gml; standard language; es; 0.0375; 0.06166103577895308
gml; standard language; pl; 0.03300000000000001; 0.08373171442171719
gml; standard language; vi; 0.04; 0.19595917942265423
gml; standard language; de; 0.013999999999999999; 0.051029403288692286
gml; standard language; ml; 0.0; 0.0
gml; standard language; sh; 0.05; 0.2179449471770337
gml; standard language; nl; 0.019999999999999997; 0.07916228058025276
gml; standard language; si; 0.0; 0.0
gml; standard language; pt; 0.0; 0.0
gml; standard language; ro; 0.12314285714285711; 0.11309101746510425
gml; standard language; ja; 0.0; 0.0
gml; standard language; simple; 0.04; 0.19595917942265426
gml; standard language; it; 0.019999999999999997; 0.0495695759225642
gml; standard language; ceb; 0.0; 0.0
gml; standard language; he; 0.0; 0.0
gml; standard language; da; 0.07333333333333333; 0.13808210118138653
gml; standard language; en; 0.045358102766798414; 0.04158278286220745
gml; standard language; sr; 0.0; 0.0
gml; standard language; sv; 0.08; 0.1641137816678823
gml; standard language; ckb; 0.0; 0.0
gml; standard language; ru; 0.0; 0.0
gml; standard language; hi; 0.0; 0.0
gml; standard language; arz; 0.0; 0.0
gml; standard language; bs; 0.0; 0.0
gml; standard language; te; 0.0; 0.0
gml; standard language; zh; 0.0; 0.0
gml; standard language; mk; 0.0; 0.0
gml; standard language; hu; 0.064; 0.12126005112979296
gml; standard language; ko; 0.0; 0.0
gml; standard language; war; 0.0; 0.0
gml; neutron star; fr; 0.0; 0.0
gml; neutron star; tr; 0.0; 0.0
gml; neutron star; es; 0.0; 0.0
gml; neutron star; pl; 0.0; 0.0
gml; neutron star; vi; 0.0; 0.0
gml; neutron star; de; 0.0; 0.0
gml; neutron star; nl; 0.0; 0.0
gml; neutron star; pt; 0.0; 0.0
gml; neutron star; ja; 0.0; 0.0
gml; neutron star; da; 0.0; 0.0
gml; neutron star; en; 0.0; 0.0
gml; neutron star; sv; 0.0; 0.0
gml; neutron star; ru; 0.0; 0.0
gml; neutron star; bs; 0.0; 0.0
gml; neutron star; zh; 0.0; 0.0
gml; neutron star; ko; 0.0; 0.0
gml; ceramic; id; 0.0; 0.0
gml; ceramic; fr; 0.0; 0.0
gml; ceramic; tr; 0.0; 0.0
gml; ceramic; el; 0.0; 0.0
gml; ceramic; es; 0.0; 0.0
gml; ceramic; pl; 0.0; 0.0
gml; ceramic; de; 0.01; 0.09949874371066199
gml; ceramic; nl; 0.0; 0.0
gml; ceramic; pt; 0.0; 0.0
gml; ceramic; ja; 0.0; 0.0
gml; ceramic; it; 0.0; 0.0
gml; ceramic; he; 0.0; 0.0
gml; ceramic; da; 0.0; 0.0
gml; ceramic; en; 0.003333333333333333; 0.033166247903554
gml; ceramic; sr; 0.0; 0.0
gml; ceramic; sv; 0.0; 0.0
gml; ceramic; ru; 0.0; 0.0
gml; ceramic; zh; 0.0; 0.0
gml; law; id; 0.0; 0.0
gml; law; fr; 0.0; 0.0
gml; law; mr; 0.0; 0.0
gml; law; tr; 0.0; 0.0
gml; law; el; 0.0; 0.0
gml; law; es; 0.01; 0.05686240703077326
gml; law; pl; 0.0; 0.0
gml; law; vi; 0.0; 0.0
gml; law; de; 0.002173913043478261; 0.009475867268566682
gml; law; ml; 0.0; 0.0
gml; law; sh; 0.0; 0.0
gml; law; nl; 0.0; 0.0
gml; law; si; 0.0; 0.0
gml; law; pt; 0.0; 0.0
gml; law; ro; 0.0; 0.0
gml; law; ja; 0.0; 0.0
gml; law; simple; 0.04090909090909091; 0.05600324665913252
gml; law; it; 0.011381899871630295; 0.017967281339858716
gml; law; he; 0.0; 0.0
gml; law; da; 0.02; 0.13999999999999996
gml; law; en; 0.0471363694438398; 0.0034050416387702413
gml; law; sr; 0.0; 0.0
gml; law; sv; 0.0; 0.0
gml; law; ckb; 0.0; 0.0
gml; law; ru; 0.0; 0.0
gml; law; hi; 0.0; 0.0
gml; law; bs; 0.0; 0.0
gml; law; te; 0.0; 0.0
gml; law; zh; 0.0; 0.0
gml; law; mk; 0.0; 0.0
gml; law; hu; 0.0; 0.0
gml; law; ko; 0.0; 0.0
gml; law; war; 0.0; 0.0
gml; history; id; 0.0; 0.0
gml; history; fr; 0.0; 0.0
gml; history; tr; 0.0; 0.0
gml; history; es; 0.0; 0.0
gml; history; pl; 0.0; 0.0
gml; history; vi; 0.0; 0.0
gml; history; de; 0.0; 0.0
gml; history; sh; 0.0; 0.0
gml; history; nl; 0.0; 0.0
gml; history; pt; 0.0; 0.0
gml; history; ro; 0.0; 0.0
gml; history; ja; 0.0; 0.0
gml; history; simple; 0.0; 0.0
gml; history; it; 0.01; 0.04358898943540674
gml; history; he; 0.0; 0.0
gml; history; da; 0.0; 0.0
gml; history; en; 0.0; 0.0
gml; history; sr; 0.0; 0.0
gml; history; sv; 0.0; 0.0
gml; history; ru; 0.0; 0.0
gml; history; bs; 0.0; 0.0
gml; history; zh; 0.0; 0.0
gml; history; mk; 0.0; 0.0
gml; history; hu; 0.0; 0.0
gml; history; ko; 0.0; 0.0
gml; social conflict; es; 0.0; 0.0
gml; social conflict; en; 0.0; 0.0
gml; history of music; pl; 0.0; 0.0
gml; history of music; en; 0.0; 0.0
gml; term; id; 0.002; 0.00728991475552747
gml; term; fr; 0.0002702702702702703; 0.002689155235423297
gml; term; mr; 0.0; 0.0
gml; term; tr; 0.0; 0.0
gml; term; lv; 0.0; 0.0
gml; term; el; 0.0; 0.0
gml; term; es; 0.0006976744186046512; 0.003967144676565578
gml; term; pl; 0.0; 0.0
gml; term; vi; 0.0; 0.0
gml; term; de; 0.0006102212051868803; 0.002546805554239545
gml; term; ml; 0.0; 0.0
gml; term; sh; 0.002; 0.0198997487421324
gml; term; nl; 0.0008571428571428571; 0.004873920602637707
gml; term; si; 0.0; 0.0
gml; term; pt; 0.0005128205128205128; 0.0035897435897435893
gml; term; ro; 0.0; 0.0
gml; term; ja; 0.0; 0.0
gml; term; simple; 0.0; 0.0
gml; term; it; 0.0002325581395348837; 0.0023139242723409776
gml; term; ceb; 0.0; 0.0
gml; term; he; 0.0; 0.0
gml; term; da; 0.006000000000000001; 0.034117444218463966
gml; term; en; 0.00045861739617297364; 0.0011266679001265814
gml; term; sr; 0.0; 0.0
gml; term; sv; 0.0007407407407407407; 0.005185185185185184
gml; term; ckb; 0.0; 0.0
gml; term; ru; 0.0; 0.0
gml; term; hi; 0.0; 0.0
gml; term; arz; 0.0; 0.0
gml; term; bs; 0.003333333333333333; 0.033166247903554
gml; term; te; 0.0; 0.0
gml; term; zh; 0.0; 0.0
gml; term; mk; 0.0; 0.0
gml; term; hu; 0.003333333333333333; 0.033166247903554
gml; term; ko; 0.0; 0.0
gml; term; war; 0.05; 0.21794494717703367
gml; gender; fr; 0.0; 0.0
gml; gender; es; 0.0; 0.0
gml; gender; pl; 0.0; 0.0
gml; gender; de; 0.0; 0.0
gml; gender; pt; 0.0; 0.0
gml; gender; ro; 0.0; 0.0
gml; gender; ja; 0.0; 0.0
gml; gender; simple; 0.0; 0.0
gml; gender; it; 0.0; 0.0
gml; gender; he; 0.0; 0.0
gml; gender; en; 0.21900000000000003; 0.17418094040393742
gml; gender; sr; 0.0; 0.0
gml; gender; zh; 0.0; 0.0
gml; gender; ko; 0.0; 0.0
