Root path: ../../graphsReduced/
Sample Size: 100

type; dataset; language; mean; std
gml; theoremGML; da; 0.13881458802581326; 0.0037548620876147994
gml; theoremGML; en; 0.023952710939224867; 9.864283544780238e-05
gml; theoremGML; sr; 0.11927756167890113; 0.0031878704028292936
gml; theoremGML; sv; 0.06788650627933623; 0.00103256880805203
gml; theoremGML; ckb; 0.20539669191369594; 0.012932649897599872
gml; theoremGML; ru; 0.03928209370965508; 0.0003780880098754868
gml; theoremGML; hi; 0.14485252466098364; 0.007474225430505314
gml; theoremGML; bs; 0.19608045414736475; 0.012628293055414996
gml; theoremGML; te; 1.0; 0.0
gml; theoremGML; zh; 0.05368936480523878; 0.0005906593724670433
gml; theoremGML; mk; 0.22125880730984387; 0.012744121178867996
gml; theoremGML; hu; 0.07125837000438645; 0.0012166746654742326
gml; theoremGML; ko; 0.05388853426609566; 0.0007244851164962275
gml; theoremGML; war; 1.0; 0.0
gml; chemical compound; id; 0.0866150540522207; 0.0010855197162888456
gml; chemical compound; fr; 0.0587760527010339; 0.0004581459756526571
gml; chemical compound; mr; 1.0; 0.0
gml; chemical compound; lv; 0.13267405252721118; 0.008191392718299311
gml; chemical compound; el; 1.0; 0.0
gml; chemical compound; es; 0.054570871286246186; 0.0007507124990590389
gml; chemical compound; pl; 0.05977946134529443; 0.0005403332040329334
gml; chemical compound; vi; 0.07630246988741912; 0.0010523462158858082
gml; chemical compound; de; 0.03991652631491447; 0.0004160652690770966
gml; chemical compound; ml; 1.0; 0.0
gml; chemical compound; sh; 0.05406243817408764; 0.0003292621161579958
gml; chemical compound; nl; 0.04771326884034879; 0.000524728212868337
gml; chemical compound; si; 1.0; 0.0
gml; chemical compound; pt; 0.05834328658602605; 0.0009703311954993522
gml; chemical compound; ro; 0.08977396017133592; 0.0013590381984592028
gml; chemical compound; ja; 0.6018648838928193; 1.4812222630807096e-16
gml; chemical compound; simple; 0.08608630767659832; 0.002452988966830322
gml; chemical compound; it; 0.05227331249018942; 0.00030672813490134523
gml; chemical compound; ceb; 1.0; 0.0
gml; chemical compound; he; 0.4370259181678752; 0.010634203703570719
gml; chemical compound; da; 0.0794237035183105; 0.0018203235479644097
gml; chemical compound; en; 0.04689344401867751; 0.00016784695883265222
gml; chemical compound; sr; 0.057781162031844184; 0.0004179314535379823
gml; chemical compound; sv; 0.05374631505972331; 0.0005953286778116069
gml; chemical compound; ckb; 1.0; 0.0
gml; chemical compound; ru; 0.41333126628744643; 0.006875414211906635
gml; chemical compound; hi; 1.0; 0.0
gml; chemical compound; arz; 1.0; 0.0
gml; chemical compound; bs; 0.11301116733425234; 0.0020259591879589977
gml; chemical compound; te; 1.0; 0.0
gml; chemical compound; zh; 1.0; 0.0
gml; chemical compound; mk; 1.0; 0.0
gml; chemical compound; hu; 0.07378406656496238; 0.0010544778278568172
gml; chemical compound; ko; 1.0; 0.0
gml; chemical compound; war; 0.571964625391403; 0.027144566360577212
gml; holydayGML; id; 0.1508643540370984; 0.005983760033642811
gml; holydayGML; fr; 0.1295988608634904; 0.004805178274203632
gml; holydayGML; mr; 0.23366177600917692; 0.010682356752052197
gml; holydayGML; lv; 0.30948241879484506; 0.020439069386416972
gml; holydayGML; el; 0.2892761738830826; 0.013200178887895753
gml; holydayGML; es; 0.12600727417882698; 0.004119209068554052
gml; holydayGML; pl; 0.14627244712670232; 0.004939482519909622
gml; holydayGML; vi; 0.1908667141361553; 0.011092218172086133
gml; holydayGML; de; 0.13699255280867262; 0.003404055212810734
gml; holydayGML; ml; 0.1864717114527635; 0.003931495220961668
gml; holydayGML; sh; 0.21489838675576373; 0.009854589234467425
gml; holydayGML; nl; 0.16129094775711955; 0.008840130188717609
gml; holydayGML; si; 0.5909168937756489; 0.046789394343993505
gml; holydayGML; pt; 0.14520416973769812; 0.005921876821454386
gml; holydayGML; ro; 0.1742111312358183; 0.009484704480915963
gml; holydayGML; ja; 0.13012360216454188; 0.004227776450837281
gml; holydayGML; simple; 0.22977646727182535; 0.00730782608086519
gml; holydayGML; it; 0.13447222458633004; 0.0052918186375289925
gml; holydayGML; ceb; 0.35790728006995987; 0.018415305036917268
gml; holydayGML; he; 0.16110795812753081; 0.004387447639536186
gml; holydayGML; da; 0.17590109044909696; 0.008479994419522309
gml; holydayGML; en; 0.11845443548185836; 0.0018095641334757203
gml; holydayGML; sr; 0.19474027165451024; 0.008491785410495464
gml; holydayGML; sv; 0.13758648381748145; 0.005503193195805715
gml; holydayGML; ckb; 0.5780823676693795; 0.1193123324685783
gml; holydayGML; ru; 0.12335323302989237; 0.002974309722062014
gml; holydayGML; hi; 0.22474298729773964; 0.018710223528718567
gml; holydayGML; arz; 0.33739942918259425; 0.019776694597747547
gml; holydayGML; bs; 0.5920431791916924; 0.062046389818868834
gml; holydayGML; te; 0.25120433914620866; 0.021819057177265167
gml; holydayGML; zh; 0.15515596957207986; 0.0038803610339325505
gml; holydayGML; mk; 0.2583914642238524; 0.024556395225147774
gml; holydayGML; hu; 0.18302909854238839; 0.0066324747367024015
gml; holydayGML; ko; 0.14825852674618029; 0.005804105898958318
gml; holydayGML; war; 0.6830310092541755; 0.07410046195989164
gml; paintingGML; id; 0.1216857292074134; 0.0026230180407512817
gml; paintingGML; fr; 0.11060087334651188; 0.0009246426576839814
gml; paintingGML; mr; 1.0; 0.0
gml; paintingGML; lv; 0.15394856833994308; 0.003055756342150814
gml; paintingGML; el; 0.07075064105139443; 0.0013775441300394075
gml; paintingGML; es; 0.025428361499153798; 0.000128310530717131
gml; paintingGML; pl; 0.025795394379829834; 7.056593530692382e-05
gml; paintingGML; vi; 0.14108866301343215; 0.006582333383416239
gml; paintingGML; de; 0.03743608391521684; 0.0004298815060207586
gml; paintingGML; ml; 0.04676967059994798; 5.06273gml; krankheitGML; en; 0.01914676594026057; 1.226813437993114e-05
gml; krankheitGML; sr; 0.0410458085466084; 0.00027718894805798356
gml; krankheitGML; sv; 0.03497510258732338; 8.355843357213891e-05
gml; krankheitGML; ckb; 0.12497801064106827; 0.002478059239043441
gml; krankheitGML; ru; 0.029185273586502733; 3.822536253759966e-05
gml; krankheitGML; hi; 0.06083798618369991; 0.000731691029397271
gml; krankheitGML; arz; 0.14722167716618398; 0.005027692992529235
gml; krankheitGML; bs; 0.08049801048814603; 0.0011658504987102289
gml; krankheitGML; te; 0.10202590303167164; 0.0031629552775661917
gml; krankheitGML; zh; 0.04005016565352898; 9.543913430818128e-05
gml; krankheitGML; mk; 0.0674456774443543; 0.0008280699640845478
gml; krankheitGML; hu; 0.05575109080785486; 0.0006641740159521741
gml; krankheitGML; ko; 0.04221838107951451; 0.0001923135342618478
gml; krankheitGML; war; 0.28771280363144924; 0.006011150966496831
gml; mathematical concept; id; 0.2636040505921778; 0.0208741446932715
gml; mathematical concept; fr; 0.17688982207927956; 0.005884994367383822
gml; mathematical concept; mr; 1.0; 0.0
gml; mathematical concept; tr; 0.46541154006468005; 0.04354731308814145
gml; mathematical concept; lv; 1.0; 0.0
gml; mathematical concept; el; 1.0; 0.0
gml; mathematical concept; es; 0.297857092350479; 0.0203138004155305
gml; mathematical concept; pl; 0.3235682705624954; 0.02047725524148089
gml; mathematical concept; vi; 1.0; 0.0
gml; mathematical concept; de; 0.16961224801741373; 0.008467536961441171
gml; mathematical concept; ml; 1.0; 0.0
gml; mathematical concept; sh; 0.38559278330831065; 0.057534199645820926
gml; mathematical concept; nl; 0.18128179222047677; 0.009335530928098797
gml; mathematical concept; si; 1.0; 0.0
gml; mathematical concept; pt; 0.31229588165496563; 0.03694634468879274
gml; mathematical concept; ro; 0.6279040865263875; 0.04074880460436152
gml; mathematical concept; ja; 1.0; 0.0
gml; mathematical concept; simple; 0.4727993217122212; 0.0746169478072314
gml; mathematical concept; it; 0.17951525516130715; 0.011135143346263154
gml; mathematical concept; he; 1.0; 0.0
gml; mathematical concept; da; 0.3656431371399669; 0.04113174841964204
gml; mathematical concept; en; 0.09889814192327638; 0.0027151830761960993
gml; mathematical concept; sr; 0.32836663089821394; 0.013714396881714733
gml; mathematical concept; sv; 0.29538908882224313; 0.030707305919012547
gml; mathematical concept; ckb; 1.0; 0.0
gml; mathematical concept; ru; 1.0; 0.0
gml; mathematical concept; hi; 1.0; 0.0
gml; mathematical concept; arz; 1.0; 0.0
gml; mathematical concept; bs; 0.37357023254653193; 0.043209646669094326
gml; mathematical concept; te; 1.0; 0.0
gml; mathematical concept; zh; 1.0; 0.0
gml; mathematical concept; mk; 1.0; 0.0
gml; mathematical concept; hu; 0.5492562034033593; 0.04282536669130906
gml; mathematical concept; ko; 1.0; 0.0
gml; mathematical concept; war; 0.5102591406576173; 0.17870971057228924
gml; galaxy; id; 0.4061318976187519; 0.012810130194669282
gml; galaxy; fr; 0.04864839118232048; 1.6338357036563165e-05
gml; galaxy; lv; 1.0; 0.0
gml; galaxy; el; 0.13848763963033422; 0.0004960888184573333
gml; galaxy; es; 0.084636611132408; 0.0010332135838863798
gml; galaxy; pl; 0.03274940149778191; 0.00014314973038822768
gml; galaxy; vi; 0.1924462489583848; 0.003908037629195985
gml; galaxy; de; 0.045283769249725755; 7.31121566828738e-05
gml; galaxy; ml; 1.0; 0.0
gml; galaxy; sh; 0.038308167006314495; 2.4771004965279026e-05
gml; galaxy; nl; 0.033385618639454835; 8.675068566232067e-06
gml; galaxy; pt; 0.03384453875543153; 0.00014803134815117636
gml; galaxy; ro; 0.2207239934910358; 0.0011986804725301013
gml; galaxy; ja; 0.17316420011057132; 0.0074236819082828176
gml; galaxy; simple; 1.0; 0.0
gml; galaxy; it; 0.11061995961634365; 0.003627945018259899
gml; galaxy; he; 0.31767281464543706; 0.010302559190667833
gml; galaxy; da; 1.0; 0.0
gml; galaxy; en; 0.0862998465112304; 0.00012680877245265594
gml; galaxy; sr; 0.033112764580653535; 1.953357745179582e-05
gml; galaxy; sv; 0.12874346944013418; 0.004486680929779532
gml; galaxy; ckb; 1.0; 0.0
gml; galaxy; ru; 0.03280644744393212; 0.0001083705506500487
gml; galaxy; hi; 1.0; 0.0
gml; galaxy; bs; 0.036619849543861195; 8.840363134415316e-06
gml; galaxy; zh; 0.04288686799740777; 0.00016263476517805708
gml; galaxy; mk; 1.0; 0.0
gml; galaxy; hu; 0.20406118148094404; 0.0024633364862249258
gml; galaxy; ko; 0.17172810580169628; 0.0020264048740769587
gml; language; id; 0.09182377621977589; 0.002452500564508772
gml; language; fr; 1.0; 0.0
gml; language; mr; 1.0; 0.0
gml; language; lv; 0.1493985168265843; 0.01046496029188197
gml; language; el; 1.0; 0.0
gml; language; es; 1.0; 0.0
gml; language; pl; nan; graph is empty
gml; language; vi; 0.26238900964566964; 0.021451769771454764
gml; language; de; 1.0; 0.0
gml; language; ml; 1.0; 0.0
gml; language; sh; 0.12455870733228616; 0.005516061003217468
gml; language; nl; 1.0; 0.0
gml; language; si; 1.0; 0.0
gml; language; pt; 1.0; 0.0
gml; language; ro; 0.1608572651800213; 0.009977115841618601
gml; language; ja; 1.0; 0.0
gml; language; simple; 0.10142954867463436; 0.0031193499443051462
gml; language; it; 1.0; 0.0
gml; language; ceb; 0.2659022658305418; 0.014892827489017138
gml; language; he; 1.0; 0.0
gml; language; da; 0.12020192206355494; 0.0044623941606703
gml; language; en; 0.31736255143910425; 0.019992079316060174
gml; language; sr; 0.48078197836144687; 0.012034879094589803
gml; language; sv; 1.0; 0.0
gml; language; ckb; 1.0; 0.0
gml; language; ru; 1.0; 0.0
gml; language; hi; 1.0; 0.0
gml; language; arz; 1.0; 0.0
gml; language; bs; 0.2769128919008217; 0.022293919534866764
gml; language; te; 1.0; 0.0
gml; language; zh; 1.0; 0.0
gml; language; mk; 1.0; 0.0
gml; language; hu; 0.19344955499609948; 0.004016084030579191
gml; language; ko; 1.0; 0.0
gml; language; war; 0.4503925366730996; 0.03186489552424393
gml; komponistGML; id; 0.33682495058232953; 0.03907567931348845
gml; komponistGML; fr; 0.17631039109602717; 0.010212958265043603
gml; komponistGML; mr; 0.5875990453217448; 0.06294980088856206
gml; komponistGML; lv; 0.3344212891074485; 0.04666904368707106
gml; komponistGML; el; 0.31656001369146236; 0.026179289997717667
gml; komponistGML; es; 0.21125347509109219; 0.018995454537414667
gml; komponistGML; pl; 0.26406248720757175; 0.023748863412271445
gml; komponistGML; vi; 0.2042169706695871; 0.014731136114962129
gml; komponistGML; de; 0.1909022295932774; 0.013351917505664515
gml; komponistGML; ml; 0.3126962119578965; 0.01943058299178204
gml; komponistGML; sh; 0.3857309107237604; 0.01985907334679501
gml; komponistGML; nl; 0.23129381949129665; 0.0206698029154017
gml; komponistGML; si; 1.0; 0.0
gml; komponistGML; pt; 0.28675769014769625; 0.02496873307011353
gml; komponistGML; ro; 0.3007093985951965; 0.024636679514366974
gml; komponistGML; ja; 0.21507841225730334; 0.013632746081210016
gml; komponistGML; simple; 0.25262556807701875; 0.02809860164525137
gml; komponistGML; it; 0.2501019320316312; 0.014977580674257057
gml; komponistGML; ceb; 1.0; 0.0
gml; komponistGML; he; 0.24972993418925726; 0.022780718907508962
gml; komponistGML; da; 0.2121105735799875; 0.014943748758750963
gml; komponistGML; en; 0.18581020761384867; 0.007173540989101148
gml; komponistGML; sr; 0.273845978075752; 0.019820875152734577
