Root path: ../../graphsReduced/
Sample Size: 100

type; dataset; language; mean; std; rep0; rep1; rep2; rep3; rep4; rep5; rep6; rep7; rep8; rep9; rep10; rep11; rep12; rep13; rep14; rep15; rep16; rep17; rep18; rep19; rep20; rep21; rep22; rep23; rep24; rep25; rep26; rep27; rep28; rep29; rep30; rep31; rep32; rep33; rep34; rep35; rep36; rep37; rep38; rep39; rep40; rep41; rep42; rep43; rep44; rep45; rep46; rep47; rep48; rep49; rep50; rep51; rep52; rep53; rep54; rep55; rep56; rep57; rep58; rep59; rep60; rep61; rep62; rep63; rep64; rep65; rep66; rep67; rep68; rep69; rep70; rep71; rep72; rep73; rep74; rep75; rep76; rep77; rep78; rep79; rep80; rep81; rep82; rep83; rep84; rep85; rep86; rep87; rep88; rep89; rep90; rep91; rep92; rep93; rep94; rep95; rep96; rep97; rep98; rep99
gml; chemical element; id; 0.031707650819321344; 6.150935887730699e-05; 0.03161427054762054; 0.03160944494048569; 0.031666379885927555; 0.031792774872284026; 0.03169965834482217; 0.03165129158843664; 0.03178709880646068; 0.031789462156655394; 0.03179857793772928; 0.031731888575804036; 0.03171701820342276; 0.031860906448293584; 0.03172309826896093; 0.03173700529054187; 0.03170277317497485; 0.0316672922913271; 0.03169339777182919; 0.03171280651188737; 0.031674089809888; 0.031593734962941364; 0.031832372781997825; 0.031670823614714995; 0.031612036584418086; 0.031787158537884885; 0.03172995304354875; 0.03162149838474956; 0.031615566970765216; 0.03167004589173412; 0.03170581399544275; 0.03172921922733883; 0.03171554188274226; 0.03173562756980193; 0.0317052810355787; 0.0317506518442422; 0.031697627756252164; 0.03169018939948435; 0.03181947835718769; 0.03170539892809798; 0.03175079368647319; 0.03167560013781466; 0.031732446778804546; 0.03183184456761892; 0.031645145505414314; 0.03171350036709198; 0.03169576943481653; 0.03169138018011543; 0.03163242231964906; 0.03165172189020111; 0.031774979495716525; 0.03168625593597646; 0.03162340185344386; 0.03182899902683335; 0.03176724026903624; 0.031708106209136416; 0.03183350583826724; 0.03172025181316761; 0.03170102075887463; 0.03165583488791527; 0.03166426986945929; 0.03172572184925455; 0.03170708062837786; 0.03168930636238897; 0.03161869360877549; 0.03169699512232335; 0.03167770239227717; 0.03181794852480471; 0.03171148914177675; 0.03180699854121184; 0.03166844392149865; 0.03168294149480992; 0.03173231632423244; 0.03173481045709214; 0.031707281870795606; 0.03168264838027956; 0.03157852198153637; 0.031609944468553856; 0.03167232610657818; 0.031676055147589186; 0.03169511265274145; 0.03180960701941709; 0.03179623683636272; 0.031702855561804015; 0.03169161130291216; 0.03168430379404555; 0.03164315592901317; 0.031658021840142075; 0.031714230799605184; 0.031744613293682805; 0.031753251532341424; 0.0318342407915496; 0.03167695978677056; 0.031595443558307346; 0.03164151703092577; 0.03165217941645965; 0.03173710434343159; 0.03173914436391329; 0.03170438010166183; 0.031671661505510186; 0.03174347458708504; 0.03167700253819427
gml; chemical element; fr; 0.016126217063497025; 1.940993729719614e-05; 0.016114317083259767; 0.01611518133865574; 0.016170077091777323; 0.016138144603244087; 0.01613963121607084; 0.01617012942084381; 0.016132451693299136; 0.016150397739386736; 0.016115150261880845; 0.016139641622515903; 0.016092110062173738; 0.016093552967975183; 0.016099411122797783; 0.01611663049399535; 0.016125867567035213; 0.01614028100729629; 0.016125188389287528; 0.016105027565967423; 0.016152601630476937; 0.01612230657387772; 0.016118633928241227; 0.0161395687778255; 0.016146768283489633; 0.016140962104419978; 0.016092919150300148; 0.016118747951618093; 0.016128792844520116; 0.016135276594955904; 0.016100628722701675; 0.016113597948084153; 0.01611578672438143; 0.016108608095614815; 0.016127381918609036; 0.01612878245916053; 0.016135328585048236; 0.016113649727761508; 0.01614833025709581; 0.016107972487857947; 0.016095568402375967; 0.01613532858504824; 0.016140353861683682; 0.016105027565967423; 0.016090023761276804; 0.0161302768601023; 0.01612296463740052; 0.016126588355271067; 0.016157737131253555; 0.016133915933996323; 0.016109316211648475; 0.01610867017326655; 0.016138898263024518; 0.016118696122508814; 0.016100835341981527; 0.016141736982205286; 0.01610135644548803; 0.01614027059960764; 0.01613302785730743; 0.016141045377256767; 0.01611728785890067; 0.016105724866681388; 0.016109983025907177; 0.016137557485462185; 0.016131646986356673; 0.01612022918084349; 0.016145363027047922; 0.016126650642165275; 0.0161576222739044; 0.016109305864071412; 0.01613103980179102; 0.016122265082931776; 0.016082817898350418; 0.016133718426501183; 0.01612446778976934; 0.0161547542493541; 0.016125105362968666; 0.016115776364262525; 0.016122975011464483; 0.016124498920774645; 0.016125846807697415; 0.016107817315355297; 0.016137359843470016; 0.016113044584136385; 0.016156255921444866; 0.016159870923758073; 0.016136627201508477; 0.016127381918609036; 0.0160828487874338; 0.01615322169944274; 0.016128071759048415; 0.016138092585777496; 0.0161295659613527; 0.016107993177865647; 0.016164151514185186; 0.016137411853812688; 0.016137422255941898; 0.016154806428986517; 0.016138919073083954; 0.016140301822734328; 0.01607857106659839; 0.016115859245776274
gml; chemical element; mr; 1.0; 0.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0
gml; chemical element; lv; 0.017556017608714825; 2.6584838655840742e-05; 0.01755186317572199; 0.017543305547175488; 0.017547131191625567; 0.01758451563073384; 0.017577792756563522; 0.01757408145194076; 0.017577940854045387; 0.01753685735595268; 0.017569425479041077; 0.01753677714347823; 0.017599374694584464; 0.017593774480731145; 0.01752101767933751; 0.01760864365416871; 0.01756939859129345; 0.01757238809293617; 0.01756574637298205; 0.017540585114826472; 0.017527528387466434; 0.01754893778403153; 0.01757408145194076; 0.017545284995522246; 0.01753688409369021; 0.017530309480777436; 0.017545271607301665; 0.01754790047352489; 0.017564638896694604; 0.017570506973569825; 0.01752943570855114; 0.017573147268969476; 0.017566639056516502; 0.017543305547175488; 0.017540585114826472; 0.017565813550423182; 0.017580692281136998; 0.01755827436577355; 0.017538700876849448; 0.017540531605409162; 0.017556344146720387; 0.017539790049063808; 0.017571279352527405; 0.017527555082302613; 0.017522829505999784; 0.017572280487951; 0.017549948481593473; 0.01756665249400336; 0.017576952206416103; 0.017498908016076384; 0.017563800243280796; 0.01755818043933668; 0.01758640128041848; 0.01754990828479809; 0.017597525370770785; 0.017576952206416103; 0.017614420743175683; 0.017561043360863008; 0.01751278491134888; 0.017607812176894756; 0.01754804781225055; 0.01756298856872994; 0.017575029241633056; 0.01757775236699472; 0.017510936288822703; 0.01757977050509287; 0.017574975414483798; 0.017561043360863008; 0.017504390978192313; 0.01758450215196739; 0.017594806494481224; 0.01753315870748679; 0.017566665931521248; 0.01755166212834434; 0.01759933415517229; 0.017561083634675845; 0.01756854580999349; 0.017530242712262587; 0.017499120527540393; 0.017490706545138214; 0.01756847860101352; 0.01752298954730662; 0.017545244830952992; 0.017565786679353695; 0.017509128170364475; 0.017580678811213; 0.01756280056512336; 0.017559340369346747; 0.01755457548137329; 0.017614434291270957; 0.01748146467168181; 0.017588044770357705; 0.017534193390212963; 0.017562042737184317; 0.017543345698348704; 0.017554495024078506; 0.017545204666661214; 0.017531290231749184; 0.017533198788617286; 0.017556344146720387; 0.017552659894279374; 0.01755079854137835
gml; chemical element; el; 1.0; 0.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0
gml; chemical element; es; 0.02260154159229369; 4.484565799379294e-05; 0.022556869475752583; 0.022571832821375738; 0.022630502774168604; 0.02262970765345713; 0.022561405716499675; 0.022630022378932836; 0.0225969901233465; 0.022545432047787445; 0.022604677325332747; 0.022653515279027567; 0.02257693817602602; 0.02255304639716473; 0.022580757689225982; 0.022658104765805043; 0.022626490981511645; 0.02273319988795884; 0.022580908938684936; 0.022598974902470075; 0.02268299477059161; 0.022592758050086568; 0.02260419096815073; 0.022532767867034446; 0.02255676948021059; 0.022644500750897596; 0.022567944714131333; 0.02260462910502663; 0.02254296737397976; 0.022592137539409207; 0.022594524594139864; 0.022580781219770907; 0.022586416985727352; 0.0225432252986534; 0.022616278588254542; 0.022625608458008636; 0.022671250443912543; 0.022641795635986776; 0.022610308100943683; 0.02258286670344009; 0.02253732603195429; 0.02261366762327401; 0.022682141635270853; 0.022576634410273428; 0.02256154703962553; 0.022543854815949973; 0.022588621460371796; 0.022639498545759043; 0.02260518383965442; 0.02265903437978406; 0.02257767511168656; 0.022643481918028858; 0.022592461358213203; 0.02265601050333804; 0.0226098988709896; 0.02258671538883516; 0.022537901716455457; 0.02259000237915326; 0.02254070496832181; 0.022641848451595652; 0.022575748511402486; 0.022632138792068733; 0.022520604603949165; 0.022590611987437784; 0.022611848311028245; 0.022519320196857748; 0.02258101948008361; 0.02258767648894722; 0.022638275483226774; 0.02267431151827615; 0.022663597576815367; 0.02267496215712474; 0.022595902296169108; 0.02267784365558711; 0.022593309342825746; 0.022591382797598272; 0.02265574747559258; 0.022630011891039557; 0.022587500597348042; 0.02258454967530683; 0.02267480116186531; 0.022591167642338848; 0.022546568843526654; 0.022554873669046526; 0.02266004272445312; 0.02266546486218652; 0.022595700462271842; 0.022523043639174872; 0.022628503540899177; 0.02259439439174822; 0.02261000684695853; 0.02254960413892202; 0.022634709433021503; 0.02252641528711912; 0.022528156023191588; 0.022609332769307378; 0.022563263115866372; 0.02268168710294231; 0.02262263438046443; 0.022604760602077795; 0.022619569200403065; 0.022534792121479283
gml; chemical element; pl; 0.03250807045801928; 4.753269130669218e-05; 0.032588943133228195; 0.032552878593226815; 0.03246289983960405; 0.03238562238854877; 0.032570895720336425; 0.03253471828895012; 0.03251084060338292; 0.032504576922465; 0.032552965428732004; 0.03254091287135218; 0.032457180496693; 0.03255925744522166; 0.03252896048245939; 0.03240947901031088; 0.03249857608730065; 0.03249918087967148; 0.032462813730874764; 0.03251092709915124; 0.03242129866702734; 0.03249874888163693; 0.0324450632278445; 0.032463072059141306; 0.03248111124782766; 0.03260745729625985; 0.032535151739105254; 0.032522772798527985; 0.032433303150595345; 0.03255253125823292; 0.03256477074122511; 0.03247520975020747; 0.03251684831246528; 0.032528354007382076; 0.03248675709327036; 0.032505182053680644; 0.032516588683860884; 0.0325285272824754; 0.03245077609481202; 0.03256503153866664; 0.032492837659092215; 0.03253480497757969; 0.03246948382685168; 0.032486670792428; 0.03249883527985024; 0.032480766230586676; 0.032480593726135175; 0.032522772798527985; 0.032486498192829685; 0.03251110009278223; 0.0324752959587218; 0.03252294598344552; 0.03247460631004483; 0.03246246930288628; 0.032559170558789666; 0.03246888070938577; 0.03258333033269443; 0.03246298594902623; 0.03258324325123353; 0.03248085248385466; 0.03252294598344552; 0.032522859390637045; 0.032481111247827654; 0.03249918087967147; 0.03245666413077734; 0.032439095654577296; 0.032517281040781144; 0.03258333033269443; 0.032541173089588905; 0.032552704924324515; 0.032409307651801326; 0.0325589967880358; 0.03243304554026512; 0.032576850135660286; 0.03253489166690999; 0.03254047918831855; 0.03248067997801352; 0.03257080873965258; 0.03255339961679872; 0.0325651184725552; 0.032504836260229875; 0.03251092709915124; 0.03249909447867094; 0.03245077609481202; 0.03251667522603027; 0.03257176556593343; 0.032517021401695295; 0.03245051806325035; 0.03245683624998028; 0.032517021401695295; 0.03251101359561767; 0.03256520540714779; 0.032516934856730906; 0.03244446148534803; 0.032528873841062476; 0.032462985949026225; 0.03259534345254752; 0.03257676310672834; 0.032594994741204864; 0.03249883527985024; 0.03243356076713273; 0.0324743477032448
gml; chemical element; vi; 0.024622528905191565; 4.252395197585479e-05; 0.024635587075753303; 0.02455067424462446; 0.02465571154440735; 0.024646721828608192; 0.024687299651458456; 0.024564117742925842; 0.024567981093600432; 0.024580853665870827; 0.02458207803117485; 0.024640162991085082; 0.02466600111006695; 0.024624417825652254; 0.02465942146633697; 0.024580644862978156; 0.02461162372865052; 0.02458401920650461; 0.024670439811930123; 0.024586545830532734; 0.024590632872261146; 0.02460168102987733; 0.024673900515660065; 0.02468689796696738; 0.024556747833138014; 0.024594237571791466; 0.024585122804705824; 0.024596922313942882; 0.02465956119909988; 0.02461298758351093; 0.02467115751883592; 0.02463696972436211; 0.024615177130076445; 0.024654679868214624; 0.02467228658411294; 0.02464303149511169; 0.02465695646165447; 0.02463195113103713; 0.02464710107910881; 0.024637087426186425; 0.024596721748598498; 0.024561253438800664; 0.024696722933539573; 0.024607574927954404; 0.02465172172529295; 0.02464322660112641; 0.02462053652627588; 0.024716154317689535; 0.024552831902806264; 0.024589250517217002; 0.02459682700836739; 0.0246513350692514; 0.024617763685335324; 0.024618479316610636; 0.024651480881909268; 0.024660796490493655; 0.02471700231235576; 0.024664315797942926; 0.02454656458865382; 0.02451653016564202; 0.02456606909658797; 0.02456281711165237; 0.02457218899518385; 0.024635077798993633; 0.024669934088121282; 0.024569654348721832; 0.024677779950730342; 0.024617923212039892; 0.02465060756552996; 0.02463917303256031; 0.024641612495123675; 0.02457452145626842; 0.024689161386328765; 0.02463856046915891; 0.024670793573683406; 0.02464024298649376; 0.024585175617831283; 0.024678783192990283; 0.024553707660090907; 0.02461881514681919; 0.024644240209702413; 0.024644310631219142; 0.024624529243539688; 0.024576660376406673; 0.02460901146144792; 0.024652762684345967; 0.024642809741098955; 0.024617763261583245; 0.024643576900440202; 0.024541022851750274; 0.0246962922746996; 0.024631625181017903; 0.024585748974302168; 0.02457804916384824; 0.02455666919517716; 0.024615444017264957; 0.024625220878302066; 0.024597754756766305; 0.024627801819910127; 0.02459675227768213; 0.024666350041199565; 0.024629413614861543
gml; chemical element; de; 0.04794517946269686; 0.0001391046240057638; 0.0478172393904215; 0.04801116051664047; 0.048258973312141046; 0.04793273077874268; 0.04779950315862207; 0.04794192549837092; 0.0479772067584281; 0.04779358658209319; 0.04798432315610118; 0.04771497695777556; 0.04795548289210622; 0.047962651054173314; 0.04803252052374351; 0.048040975486226226; 0.04789182791561194; 0.047963641895137174; 0.048067885183498194; 0.04799917053366706; 0.04796163453279294; 0.04816841767080013; 0.04777839982348254; 0.048000716352482375; 0.04782015868909302; 0.04814272311800547; 0.047853817007545006; 0.04801683929558419; 0.04795076640702871; 0.04794729139767132; 0.04811536039163365; 0.04797597123267261; 0.04785559239682653; 0.047955732379406965; 0.0477775871262782; 0.04821811715731572; 0.04793850360116102; 0.048005323854831194; 0.04790096436390761; 0.04779957093228044; 0.04804781875548632; 0.04777728002613931; 0.04790378731887293; 0.047675977227908645; 0.04803693921457207; 0.048149415828936476; 0.047865560432121895; 0.047969173609593185; 0.04773909169842909; 0.048074979937630914; 0.04786306040964323; 0.04775016715271965; 0.04812398392405817; 0.047986895722880535; 0.04804858388102829; 0.0479514716977143; 0.047913272119791496; 0.047817117784862716; 0.0479813977905012; 0.04794443213732428; 0.04774956380920181; 0.04770190158960461; 0.04790587087454865; 0.04791557826955552; 0.047639329420757985; 0.04796652004633911; 0.04793699898584404; 0.04796833372299285; 0.04812341365330358; 0.04787753413605575; 0.048000839387903504; 0.047902229715245964; 0.047684792665120594; 0.04819869690139257; 0.04805493432850325; 0.04793146205674469; 0.048389764381184704; 0.047854783879542846; 0.0481551097330278; 0.04828521329364436; 0.04777792375136686; 0.04798193118192153; 0.04797071235725288; 0.047780967044161564; 0.04802286204078208; 0.047893387684287754; 0.048035800831649725; 0.047973432195751814; 0.048053238238861616; 0.04812708593060394; 0.047945191087807204; 0.04774055048397144; 0.04781810356954787; 0.047826955899297634; 0.047912688130846856; 0.047744484295855684; 0.04793008631230555; 0.04798035866405165; 0.047838330113318346; 0.04807873146590884; 0.04803173285378231; 0.047860845291323936
gml; chemical element; ml; 1.0; 0.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0
