Root path: ../../graphsReduced/
Sample Size: 100

type; dataset; language; mean; std
gml; chemical element; id; 0.8995454336298334; 0.0007435855256456861
gml; chemical element; fr; 0.7988394071323529; 0.000963465433276082
gml; chemical element; mr; 0.5; 0.0
gml; chemical element; lv; 0.7042568732022723; 0.0017788345496386835
gml; chemical element; el; 0.5; 0.0
gml; chemical element; es; 0.8214667445299423; 0.0010199182365897273
gml; chemical element; pl; 0.9323377688714873; 0.00046964611692163676
gml; chemical element; vi; 0.8447460620341692; 0.0010812547295976685
gml; chemical element; de; 0.9019741144409291; 0.0006757193060888686
gml; chemical element; ml; 0.5; 0.0
gml; chemical element; sh; 0.5389406865338335; 0.0021107254714780232
gml; chemical element; nl; 0.9682156515806344; 0.0002620187820178935
gml; chemical element; si; 0.5; 0.0
gml; chemical element; pt; 0.5411841839454836; 0.0019694888869170955
gml; chemical element; ro; 0.9386442689087048; 0.00046364767131201496
gml; chemical element; ja; 0.5; 0.0
gml; chemical element; simple; 0.9691745183850319; 0.00027361579114352526
gml; chemical element; it; 0.9760251688678179; 0.00020196561732638762
gml; chemical element; ceb; 0.931947262680476; 0.0004975006088692213
gml; chemical element; he; 0.5; 0.0
gml; chemical element; da; 0.9380822891027029; 0.00047792605008410385
gml; chemical element; en; 0.790501851683079; 0.0010136911106127665
gml; chemical element; sr; 0.5; 0.0
gml; chemical element; sv; 0.8496939426027932; 0.0008551578643274262
gml; chemical element; ckb; 0.5; 0.0
gml; chemical element; ru; 0.5; 0.0
gml; chemical element; hi; 0.5; 0.0
gml; chemical element; arz; 0.5; 0.0
gml; chemical element; bs; 0.959356624800673; 0.00035172983697980063
gml; chemical element; te; 0.5; 0.0
gml; chemical element; zh; 0.5182754479574307; 0.001880655050919208
gml; chemical element; mk; 0.5; 0.0
gml; chemical element; hu; 0.596031841053045; 0.0017962314105529134
gml; chemical element; ko; 0.5; 0.0
gml; chemical element; war; 0.5; 0.0
gml; dialect; id; 0.5098735286995457; 0.002935977122192284
gml; dialect; fr; 0.5037673538129481; 0.0005613262589719658
gml; dialect; mr; 0.5; 0.0
gml; dialect; lv; 0.5; 0.0
gml; dialect; el; 0.5; 0.0
gml; dialect; es; 0.5002448979591837; 0.000663186808541719
gml; dialect; pl; 0.5044369912818298; 0.0016070051063817217
gml; dialect; vi; 0.5; 0.0
gml; dialect; de; 0.5014049568128454; 0.0006624159728375126
gml; dialect; ml; 0.5; 0.0
gml; dialect; sh; 0.503; 0.007141428428542856
gml; dialect; nl; 0.5029400195015438; 0.0007056031009270674
gml; dialect; si; 0.5; 0.0
gml; dialect; pt; 0.5062867985353225; 0.0011976113191881344
gml; dialect; ro; 0.5036363636363635; 0.012331509060227747
gml; dialect; ja; 0.5; 0.0
gml; dialect; simple; 0.5033522727272728; 0.007043850623882523
gml; dialect; it; 0.5231680202287957; 0.0009299679139283143
gml; dialect; ceb; 0.5; 0.0
gml; dialect; he; 0.5; 0.0
gml; dialect; da; 0.5022152327047894; 0.004480231740667949
gml; dialect; en; 0.5083635660122932; 0.0002637526027876977
gml; dialect; sr; 0.5; 0.0
gml; dialect; sv; 0.5083959020666389; 0.0018038784282333067
gml; dialect; ckb; 0.5; 0.0
gml; dialect; ru; 0.5; 0.0
gml; dialect; hi; 0.5; 0.0
gml; dialect; arz; 0.5; 0.0
gml; dialect; bs; 0.5; 0.0
gml; dialect; te; 0.5; 0.0
gml; dialect; zh; 0.5; 0.0
gml; dialect; mk; 0.5; 0.0
gml; dialect; hu; 0.5044878303526921; 0.003940984639360478
gml; dialect; ko; 0.5; 0.0
gml; dialect; war; 0.5; 0.0
gml; coat of arms; id; 0.6614530109509404; 0.008046009872590288
gml; coat of arms; fr; 0.5145671122297688; 0.0016243563731757856
gml; coat of arms; lv; 0.5; 0.0
gml; coat of arms; el; 0.5; 0.0
gml; coat of arms; es; 0.5000895356186235; 0.0003425310836834743
gml; coat of arms; pl; 0.504746324236664; 8.5050626515458e-05
gml; coat of arms; vi; 0.5; 0.0
gml; coat of arms; de; 0.5058658040784282; 0.0010410113206433293
gml; coat of arms; sh; 0.536588388056134; 0.005673634114267782
gml; coat of arms; nl; 0.5058063283514431; 0.0007842112193953096
gml; coat of arms; pt; 0.5; 0.0
gml; coat of arms; ro; 0.509804324028462; 0.01239266526725587
gml; coat of arms; ja; 0.5; 0.0
gml; coat of arms; simple; 0.5; 0.0
gml; coat of arms; it; 0.5294945824188856; 0.0013622474834026805
gml; coat of arms; he; 0.5; 0.0
gml; coat of arms; da; 0.5; 0.0
gml; coat of arms; en; 0.5076839929077921; 0.0006156428504576401
gml; coat of arms; sr; 0.5; 0.0
gml; coat of arms; sv; 0.5026007314977305; 0.0013646223777753065
gml; coat of arms; ru; 0.5; 0.0
gml; coat of arms; hi; 0.5; 0.0
