Language1, Language2, SimilarityScore, Kernel, Time
bat-smg, ceb, 0.0, 0.0, 5.841255187988281e-05
bat-smg, he, 1.0, 1.0, 5.888938903808594e-05
bat-smg, da, 1.0, 1.0, 5.793571472167969e-05
bat-smg, cv, 1.0, 1.0, 5.698204040527344e-05
bat-smg, fa, 1.0, 1.0, 5.7697296142578125e-05
bat-smg, scn, 1.0, 1.0, 5.745887756347656e-05
bat-smg, ps, 1.0, 1.0, 5.698204040527344e-05
bat-smg, wa, 1.0, 1.0, 6.127357482910156e-05
bat-smg, kv, 0.0, 0.0, 6.127357482910156e-05
bat-smg, en, 1.0, 1.0, 0.00012993812561035156
bat-smg, als, 1.0, 1.0, 6.937980651855469e-05
bat-smg, tl, 1.0, 1.0, 6.67572021484375e-05
bat-smg, sk, 1.0, 1.0, 6.532669067382812e-05
bat-smg, sw, 1.0, 1.0, 6.413459777832031e-05
bat-smg, th, 1.0, 1.0, 6.389617919921875e-05
bat-smg, zh-classical, 0.0, 0.0, 6.389617919921875e-05
bat-smg, ku, 1.0, 1.0, 6.699562072753906e-05
bat-smg, sr, 1.0, 1.0, 6.604194641113281e-05
bat-smg, lmo, 1.0, 1.0, 6.461143493652344e-05
bat-smg, pih, 1.0, 1.0, 5.984306335449219e-05
bat-smg, azb, 0.0, 0.0, 5.984306335449219e-05
bat-smg, sv, 1.0, 1.0, 6.389617919921875e-05
bat-smg, oc, 1.0, 1.0, 6.008148193359375e-05
bat-smg, li, 1.0, 1.0, 6.031990051269531e-05
bat-smg, no, 1.0, 1.0, 5.936622619628906e-05
bat-smg, ks, 1.0, 1.0, 5.888938903808594e-05
bat-smg, as, 0.0, 0.0, 5.888938903808594e-05
bat-smg, roa-rup, 1.0, 1.0, 6.031990051269531e-05
bat-smg, bg, 1.0, 1.0, 5.9604644775390625e-05
bat-smg, my, 0.0, 0.0, 5.9604644775390625e-05
bat-smg, ckb, 1.0, 1.0, 6.008148193359375e-05
bat-smg, gu, 0.0, 0.0, 6.008148193359375e-05
bat-smg, eml, 0.0, 0.0, 6.008148193359375e-05
bat-smg, ky, 1.0, 1.0, 6.103515625e-05
bat-smg, bn, 1.0, 1.0, 5.9604644775390625e-05
bat-smg, hyw, 1.0, 1.0, 5.888938903808594e-05
bat-smg, vls, 1.0, 1.0, 5.9604644775390625e-05
bat-smg, lo, 1.0, 1.0, 5.936622619628906e-05
bat-smg, or, 0.0, 0.0, 5.936622619628906e-05
bat-smg, ru, 1.0, 1.0, 5.984306335449219e-05
bat-smg, hi, 1.0, 1.0, 0.00013303756713867188
bat-smg, wuu, 1.0, 1.0, 6.604194641113281e-05
bat-smg, arz, 1.0, 1.0, 6.29425048828125e-05
bat-smg, az, 1.0, 1.0, 6.151199340820312e-05
bat-smg, bs, 1.0, 1.0, 5.984306335449219e-05
bat-smg, fur, 1.0, 1.0, 6.794929504394531e-05
bat-smg, te, 1.0, 1.0, 6.079673767089844e-05
bat-smg, zh, 1.0, 1.0, 6.270408630371094e-05
bat-smg, mk, 1.0, 1.0, 6.031990051269531e-05
bat-smg, ext, 1.0, 1.0, 5.91278076171875e-05
bat-smg, sl, 1.0, 1.0, 6.103515625e-05
bat-smg, su, 1.0, 1.0, 5.9604644775390625e-05
bat-smg, ga, 1.0, 1.0, 6.389617919921875e-05
bat-smg, gan, 1.0, 1.0, 7.081031799316406e-05
bat-smg, gl, 1.0, 1.0, 5.841255187988281e-05
bat-smg, hu, 1.0, 1.0, 5.888938903808594e-05
bat-smg, uz, 1.0, 1.0, 5.841255187988281e-05
bat-smg, co, 1.0, 1.0, 5.936622619628906e-05
bat-smg, af, 1.0, 1.0, 5.817413330078125e-05
bat-smg, mn, 1.0, 1.0, 5.793571472167969e-05
bat-smg, ko, 1.0, 1.0, 5.817413330078125e-05
bat-smg, ms, 1.0, 1.0, 5.793571472167969e-05
bat-smg, ca, 1.0, 1.0, 6.0558319091796875e-05
bat-smg, pnb, 1.0, 1.0, 0.00010538101196289062
bat-smg, ilo, 1.0, 1.0, 5.91278076171875e-05
bat-smg, war, 1.0, 1.0, 5.793571472167969e-05
bat-smg, vec, 1.0, 1.0, 5.650520324707031e-05
bat-smg, lt, 1.0, 1.0, 5.984306335449219e-05
bat-smg, mai, 0.0, 0.0, 5.984306335449219e-05
bat-smg, kk, 1.0, 1.0, 5.888938903808594e-05
bat-smg, jv, 1.0, 1.0, 5.698204040527344e-05
bat-smg, ur, 1.0, 1.0, 5.6743621826171875e-05
bat-smg, nrm, 1.0, 1.0, 5.602836608886719e-05
nds, nds, 1.0, 1.0, 6.389617919921875e-05
nds, eu, 0.0, 0.0, 6.389617919921875e-05
nds, fi, 1.0, 1.0, 5.793571472167969e-05
nds, id, 0.0, 0.0, 5.793571472167969e-05
nds, lb, 0.0, 0.0, 5.793571472167969e-05
nds, ast, 0.0, 0.0, 5.793571472167969e-05
nds, fo, 0.0, 0.0, 5.793571472167969e-05
nds, ba, 0.0, 0.0, 5.793571472167969e-05
nds, eo, 0.0, 0.0, 5.793571472167969e-05
nds, sco, 0.0, 0.0, 5.793571472167969e-05
nds, ar, 0.0, 0.0, 5.793571472167969e-05
nds, fr, 1.0, 1.0, 6.270408630371094e-05
nds, stq, 0.0, 0.0, 6.270408630371094e-05
nds, pdc, 0.0, 0.0, 6.270408630371094e-05
nds, ia, 0.0, 0.0, 6.270408630371094e-05
nds, br, 0.0, 0.0, 6.270408630371094e-05
nds, csb, 0.0, 0.0, 6.270408630371094e-05
nds, mr, 0.0, 0.0, 6.270408630371094e-05
nds, tr, 0.0, 0.0, 6.270408630371094e-05
nds, lv, 0.0, 0.0, 6.270408630371094e-05
nds, el, 0.0, 0.0, 6.270408630371094e-05
nds, nap, 0.0, 0.0, 6.270408630371094e-05
nds, nah, 0.0, 0.0, 6.270408630371094e-05
nds, hr, 0.0, 0.0, 6.270408630371094e-05
nds, sc, 0.0, 0.0, 6.270408630371094e-05
nds, bm, 0.0, 0.0, 6.270408630371094e-05
nds, nn, 0.0, 0.0, 6.270408630371094e-05
nds, rue, 0.0, 0.0, 6.270408630371094e-05
nds, es, 1.0, 1.0, 6.842613220214844e-05
nds, fiu-vro, 0.0, 0.0, 6.842613220214844e-05
nds, pl, 1.0, 1.0, 6.079673767089844e-05
nds, mg, 0.0, 0.0, 6.079673767089844e-05
nds, vi, 0.0, 0.0, 6.079673767089844e-05
nds, zh-yue, 0.0, 0.0, 6.079673767089844e-05
nds, gd, 0.0, 0.0, 6.079673767089844e-05
nds, uk, 1.0, 1.0, 6.985664367675781e-05
nds, de, 1.0, 1.0, 6.651878356933594e-05
nds, km, 0.0, 0.0, 6.651878356933594e-05
nds, hif, 0.0, 0.0, 6.651878356933594e-05
nds, pap, 0.0, 0.0, 6.651878356933594e-05
nds, pcd, 0.0, 0.0, 6.651878356933594e-05
nds, an, 0.0, 0.0, 6.651878356933594e-05
nds, kn, 0.0, 0.0, 6.651878356933594e-05
nds, bh, 0.0, 0.0, 6.651878356933594e-05
nds, bar, 0.0, 0.0, 6.651878356933594e-05
nds, yo, 0.0, 0.0, 6.651878356933594e-05
nds, ml, 0.0, 0.0, 6.651878356933594e-05
nds, io, 0.0, 0.0, 6.651878356933594e-05
nds, pa, 0.0, 0.0, 6.651878356933594e-05
nds, sh, 0.0, 0.0, 6.651878356933594e-05
nds, et, 0.0, 0.0, 6.651878356933594e-05
nds, cs, 1.0, 1.0, 7.581710815429688e-05
nds, tg, 0.0, 0.0, 7.581710815429688e-05
nds, yi, 0.0, 0.0, 7.581710815429688e-05
nds, nl, 0.0, 0.0, 7.581710815429688e-05
nds, si, 0.0, 0.0, 7.581710815429688e-05
nds, pt, 1.0, 1.0, 7.867813110351562e-05
nds, sd, 0.0, 0.0, 7.867813110351562e-05
nds, ro, 1.0, 1.0, 7.581710815429688e-05
nds, sq, 0.0, 0.0, 7.581710815429688e-05
nds, ja, 1.0, 1.0, 7.677078247070312e-05
nds, ne, 0.0, 0.0, 7.677078247070312e-05
nds, zh-min-nan, 0.0, 0.0, 7.677078247070312e-05
nds, min, 0.0, 0.0, 7.677078247070312e-05
nds, ht, 0.0, 0.0, 7.677078247070312e-05
nds, fy, 0.0, 0.0, 7.677078247070312e-05
nds, gcr, 0.0, 0.0, 7.677078247070312e-05
nds, be-tarask, 0.0, 0.0, 7.677078247070312e-05
nds, jbo, 0.0, 0.0, 7.677078247070312e-05
nds, be, 0.0, 0.0, 7.677078247070312e-05
nds, is, 0.0, 0.0, 7.677078247070312e-05
nds, bjn, 0.0, 0.0, 7.677078247070312e-05
